Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
DNOW,Buy,2.10864,2.19858,1,100,100.55
AMRC,Buy,2.34104,-1.27098,0,100.55,100.23
TCBI,Short,-0.94272,-4.04172,1,100.23,101.243
NL,Buy,3.433,4.43878,1,101.243,102.366
FNKO,Buy,4.45208,-2.40616,0,102.366,101.751
IROQ,Short,-1.54366,-1.13895,1,101.751,102.04
YMAB,Short,-6.03034,-9.20188,1,102.04,104.388
PCH,Buy,1.93116,-4.27589,0,104.388,103.272
SSD,Short,-2.88383,-2.99705,1,103.272,104.046
NPCT,Buy,5.93663,-0.208044,0,104.046,103.992
TOST,Short,-2.84245,-5.59567,1,103.992,105.446
CXW,Skip,0.129366,-5.85153,0,105.446,105.446
AAOI,Buy,3.53396,14.9842,1,105.446,109.396
AKBA,Buy,35.661,25.4032,1,109.396,116.344
SGHT,Buy,8.71923,-1.25786,0,116.344,115.978
HGTY,Short,-1.69781,1.55678,0,115.978,115.527
ZEO,Buy,4.67591,-5.12295,0,115.527,114.047
WBD,Short,-3.2702,0.783085,0,114.047,113.824
THC,Short,-7.00952,6.05585,0,113.824,112.101
EM,Short,-5.91714,4.79868,0,112.101,110.756
KOPN,Buy,2.33572,-16.3814,0,110.756,106.22
INTU,Buy,0.628817,19.0476,1,106.22,111.278
MIST,Buy,8.2769,11.6809,1,111.278,114.528
CWBC,Short,-2.70518,8.07799,0,114.528,112.215
ACB,Short,-4.93317,-4.75594,1,112.215,113.549
HCKT,Buy,3.22764,-5.95238,0,113.549,111.859
MULN,Buy,34.0117,-13.5291,0,111.859,108.076
AN,Short,-1.40341,1.82983,0,108.076,107.581
CALC,Short,-14.6378,-12.3072,1,107.581,110.891
ENSG,Skip,0.229704,-1.65325,0,110.891,110.891
ALRM,Skip,-0.185642,10.8598,0,110.891,110.891
HLIO,Short,-9.42306,-3.7195,1,110.891,111.923
COLM,Buy,1.8813,-6.00287,0,111.923,110.243
NFE,Short,-15.7644,1.07692,0,110.243,109.946
SWBI,Buy,12.0934,32.963,1,109.946,119.007
BLUE,Short,-15.9364,-29.6712,1,119.007,127.834
ANGO,Short,-2.80192,8.73181,0,127.834,125.044
CLPR,Skip,0.240151,-7.3903,0,125.044,125.044
SRG,Buy,4.15126,4.14566,1,125.044,126.34
SONO,Buy,5.73519,-2.55418,0,126.34,125.533
FGEN,Buy,1.16547,-1.1002,0,125.533,125.188
WERN,Buy,5.44787,-2.76042,0,125.188,124.324
BALL,Short,-0.823617,0.275989,0,124.324,124.238
MTZ,Buy,0.759691,7.83922,1,124.238,126.673
CXM,Buy,1.2889,2.22513,1,126.673,127.377
ORIC,Buy,2.21171,-1.48699,0,127.377,126.904
ACU,Buy,7.07801,-0.299252,0,126.904,126.809
ANDE,Buy,3.43217,3.77778,1,126.809,128.007
BLUE,Buy,10.8222,-8.79927,0,128.007,125.191
APLS,Buy,2.37255,-11.8829,0,125.191,121.472
GMGI,Short,-15.3617,-22.5352,1,121.472,128.315
ASIX,Buy,1.69347,-7.6814,0,128.315,125.851
MGIC,Buy,0.59017,-0.552486,0,125.851,125.677
PACK,Buy,44.6452,-2.28571,0,125.677,124.959
EXFY,Short,-12.7868,3.81356,0,124.959,123.768
MYE,Buy,9.65268,-2.66541,0,123.768,122.943
REXR,Skip,-0.189815,-1.1875,0,122.943,122.943
MG,Short,-0.654097,2.38411,0,122.943,122.21
SLB,Buy,4.11959,18.3358,1,122.21,127.812
OSUR,Buy,6.66522,5.08637,1,127.812,129.437
LCNB,Buy,1.34311,1.73585,1,129.437,129.999
INLX,Short,-4.3622,-3.33333,1,129.999,131.082
RZB,Buy,0.623248,-0.281393,0,131.082,130.99
MAS,Buy,3.00711,6.10526,1,130.99,132.99
HAL,Buy,9.82775,7.07965,1,132.99,135.343
FE,Skip,0.182165,2.35408,0,135.343,135.343
POCI,Short,-5.37391,6.32184,0,135.343,133.204
REG,Short,-0.546984,2.04571,0,133.204,132.523
