Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
SAFE,Short,-2.24582,-6.48683,1,100,101.622
ANDE,Buy,5.40538,2.23277,1,101.622,102.189
RNR,Short,-0.835716,-3.52202,1,102.189,103.089
BPMC,Buy,13.5667,-15.3846,0,103.089,99.1238
YRD,Short,-1.37268,-19.0476,1,99.1238,103.844
CHEF,Buy,2.26639,4.90006,1,103.844,105.116
ELMD,Buy,1.91773,-5.36585,0,105.116,103.706
MDT,Buy,2.61643,-0.0763068,0,103.706,103.686
NMTC,Buy,3.59193,-0.884956,0,103.686,103.457
LGIH,Short,-1.49874,-0.346197,1,103.457,103.546
DPRO,Buy,17.5554,-16.4286,0,103.546,99.2935
CATY,Buy,0.622631,-0.878334,0,99.2935,99.0755
INVA,Buy,8.01169,-21.8028,0,99.0755,93.6752
AFYA,Buy,1.60684,2.46548,1,93.6752,94.2526
EBTC,Buy,1.3538,-2.48175,0,94.2526,93.6678
PM,Buy,2.57107,-0.758153,0,93.6678,93.4903
VTSI,Short,-5.83088,-11.065,1,93.4903,96.0765
NVST,Buy,2.67506,-4.69043,0,96.0765,94.9499
SKE,Short,-4.70339,0.865801,0,94.9499,94.7443
MKC,Short,-0.998655,1.96893,0,94.7443,94.278
STIM,Short,-6.42904,-3.01095,1,94.278,94.9876
AGMH,Short,-12.539,-9.93377,1,94.9876,97.3466
SMCI,Buy,0.814665,1.48011,1,97.3466,97.7068
WTS,Skip,-0.363869,-1.83667,0,97.7068,97.7068
EGY,Short,-9.59335,-3.04094,1,97.7068,98.4496
DHIL,Buy,3.53863,1.19672,1,98.4496,98.7442
EXR,Short,-3.33529,-0.207375,1,98.7442,98.7953
DOCS,Short,-10.6314,-4.04154,1,98.7953,99.7936
IBRX,Buy,19.4378,3.88181,1,99.7936,100.762
AIRG,Buy,6.91645,-10.1367,0,100.762,98.2085
LSAK,Buy,1.59219,-6.97095,0,98.2085,96.497
LAZ,Short,-5.76399,0.783044,0,96.497,96.3081
SNSE,Short,-18.9605,20.7219,0,96.3081,91.3189
ATMU,Buy,2.81919,-3.82752,0,91.3189,90.4451
CLBK,Buy,0.737514,-3.13542,0,90.4451,89.7361
NVVE,Short,-6.26743,-32.0359,1,89.7361,96.9231
WHG,Buy,0.72237,1.33556,1,96.9231,97.2467
BBW,Buy,2.49992,2.99595,1,97.2467,97.975
GLSI,Buy,5.84676,25,1,97.975,104.098
ESGR,Short,-0.777767,11.6413,0,104.098,101.069
ALHC,Buy,1.47497,0.62167,1,101.069,101.226
EVGN,Skip,-0.429068,-4.0404,0,101.226,101.226
IMUX,Short,-2.75174,-11.9183,1,101.226,104.242
ABEO,Buy,1.18142,13.0252,1,104.242,107.636
MCRB,Buy,6.44802,17.0569,1,107.636,112.226
DJT,Buy,11.6194,-10.5621,0,112.226,109.263
AWR,Short,-0.702851,-0.885897,1,109.263,109.505
WSBC,Buy,0.88176,3.71482,1,109.505,110.522
VTOL,Short,-8.94869,10.0193,0,110.522,107.754
BMI,Skip,0.00122765,-16.5138,0,107.754,107.754
NOVT,Short,-1.43967,3.44258,0,107.754,106.826
ESS,Buy,0.939104,2.54648,1,106.826,107.506
GORV,Short,-5.21237,0,0,107.506,107.506
BTCS,Short,-12.4821,52.7778,0,107.506,93.3214
VABK,Buy,0.803571,-2.15517,0,93.3214,92.8186
HI,Buy,0.932267,-0.513966,0,92.8186,92.6993
DALN,Skip,-0.111333,15.3166,0,92.6993,92.6993
ORN,Skip,-0.245427,-2.09581,0,92.6993,92.6993
WLFC,Buy,2.05603,2.11382,1,92.6993,93.1892
FFBC,Short,-3.27762,-0.727273,1,93.1892,93.3587
MRUS,Short,-16.1365,4.72268,0,93.3587,92.2564
MWA,Short,-1.02305,9.02256,0,92.2564,90.1754
BIRD,Buy,1.51372,4.93443,1,90.1754,91.2878
SKT,Buy,1.92965,8.20177,1,91.2878,93.1596
DKNG,Buy,2.04242,-4.41653,0,93.1596,92.131
FHN,Buy,1.90223,6.17752,1,92.131,93.5539
CVRX,Buy,4.53611,-1.77215,0,93.5539,93.1394
TSCO,Short,-2.58993,1.58688,0,93.1394,92.7699
GORV,Buy,22.2782,100,1,92.7699,115.962
PLMR,Buy,1.27492,-17.0897,0,115.962,111.008
AMBA,Buy,4.90613,3.73543,1,111.008,112.045
AEHL,Short,-4.63556,-9.52381,1,112.045,114.712
FATE,Buy,5.21295,-0.475907,0,114.712,114.576
COKE,Short,-4.48262,-4.06201,1,114.576,115.739
RIO,Skip,0.474978,1.76042,0,115.739,115.739
CVU,Buy,0.659222,-0.841346,0,115.739,115.496
CODI,Skip,-0.294363,-10.0287,0,115.496,115.496
ARAY,Short,-6.10689,-11.5016,1,115.496,118.817
LAUR,Short,-4.24058,-0.764818,1,118.817,119.044
CTLP,Short,-3.56196,2.80374,0,119.044,118.21
ZIM,Buy,2.93939,-9.1047,0,118.21,115.519
BSRR,Buy,1.53553,-0.456969,0,115.519,115.387
ARW,Buy,1.97271,-0.462442,0,115.387,115.254
BMY,Buy,4.11483,4.3547,1,115.254,116.508
BEAT,Buy,8.96426,-15.3558,0,116.508,112.036
RLI,Short,-4.3442,-3.62424,1,112.036,113.051
XENE,Buy,6.01855,7.72164,1,113.051,115.233
RPD,Buy,5.33274,5.05051,1,115.233,116.688
OTEX,Buy,1.74144,-1.63488,0,116.688,116.211
