Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
RYAM,Buy,17.729,-7.77339,0,100,98.0567
FKWL,Buy,1.12645,-7.54717,0,98.0567,96.2065
PEP,Buy,2.08225,2.6728,1,96.2065,96.8494
ELEV,Buy,8.83455,53.886,1,96.8494,109.896
OTEX,Short,-10.9601,-3.38653,1,109.896,110.827
VTR,Short,-2.60661,1.90922,0,110.827,110.298
OCC,Short,-2.13088,-4.14508,1,110.298,111.441
SEVN,Short,-1.48288,-0.453721,1,111.441,111.567
ENR,Skip,0.194935,-0.436964,0,111.567,111.567
LSTA,Skip,0.175954,-16.1404,0,111.567,111.567
PLBC,Short,-6.95291,6.94901,0,111.567,109.629
RITM,Buy,7.01243,7.78878,1,109.629,111.764
PDSB,Buy,2.23623,23.1884,1,111.764,118.243
RPM,Skip,-0.198309,-1.28798,0,118.243,118.243
TECH,Skip,0.488278,2.34347,0,118.243,118.243
CURI,Buy,14.328,15.0943,1,118.243,122.705
CINT,Short,-16.0543,-11.7438,1,122.705,126.307
BZ,Short,-2.63683,0.391061,0,126.307,126.184
MS,Buy,2.79002,4.02537,1,126.184,127.454
ELVA,Buy,11.0914,39.2111,1,127.454,139.948
COHR,Buy,19.6816,6.91729,1,139.948,142.368
LGHL,Buy,12.0815,2.08062,1,142.368,143.108
LYB,Buy,4.48296,7.46534,1,143.108,145.779
MORN,Buy,2.57123,-5.09722,0,145.779,143.922
CWBC,Buy,1.87622,16.21,1,143.922,149.754
THM,Buy,0.651503,3.7037,1,149.754,151.141
FNKO,Buy,9.60309,10.1508,1,151.141,154.976
BC,Buy,0.547141,-2.72277,0,154.976,153.921
PPTA,Buy,4.80842,2.27743,1,153.921,154.798
SKYT,Buy,3.23164,27.3404,1,154.798,165.378
ZM,Buy,1.91103,-0.294393,0,165.378,165.256
MTEX,Buy,9.08732,3.08535,1,165.256,166.531
ASRT,Buy,4.72777,-3.73002,0,166.531,164.978
SELF,Buy,1.8346,-0.406504,0,164.978,164.811
