Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
CCCC,Short,-22.2089,3.68809,0,100,99.078
DHR,Skip,0.110189,1.20901,0,99.078,99.078
HDSN,Skip,-0.032046,-0.867052,0,99.078,99.078
HVT,Buy,5.02461,2.05412,1,99.078,99.5868
ACET,Buy,6.99363,18.5739,1,99.5868,104.211
BGFV,Buy,10.7749,4.68127,1,104.211,105.431
NRT,Buy,2.27727,-1.25285,0,105.431,105.1
ALTG,Buy,4.93675,-5.26316,0,105.1,103.718
ENSG,Buy,1.72499,11.0054,1,103.718,106.571
FLUX,Short,-5.0901,0,0,106.571,106.571
ONL,Buy,8.03049,-7.02479,0,106.571,104.7
HTHT,Short,-4.21988,-0.619035,1,104.7,104.862
RAND,Buy,2.66125,5.6,1,104.862,106.33
GFAI,Short,-12.0582,0,0,106.33,106.33
APT,Short,-3.31797,3.1903,0,106.33,105.482
UBER,Short,-1.77782,-1.21317,1,105.482,105.802
GH,Short,-3.77396,7.68365,0,105.802,103.769
CZR,Short,-2.24825,-13.0093,1,103.769,107.144
CWEN,Short,-4.40488,4,0,107.144,106.073
CSGS,Buy,0.97989,-0.183739,0,106.073,106.024
CNTA,Short,-13.4571,0.440529,0,106.024,105.907
ESCA,Buy,8.39316,-19.1926,0,105.907,100.826
HRZN,Buy,2.02519,0.428878,1,100.826,100.934
CION,Buy,0.935879,2.694,1,100.934,101.613
SGA,Short,-0.676444,3.18471,0,101.613,100.804
CWEN,Short,-3.49936,-4.70753,1,100.804,101.991
BCBP,Buy,5.59797,3.92344,1,101.991,102.991
ILPT,Buy,4.70246,7.77778,1,102.991,104.994
URI,Buy,20.6657,-4.4586,0,104.994,103.823
ADPT,Short,-7.76866,-17.109,1,103.823,108.264
LSTR,Buy,1.64528,6.14256,1,108.264,109.927
FGEN,Short,-14.8215,0.258665,0,109.927,109.856
BOKF,Buy,0.980467,-2.9563,0,109.856,109.044
QBTS,Buy,39.3088,59.5588,1,109.044,125.28
FISI,Short,-6.93648,3.26449,0,125.28,124.258
CORT,Buy,4.36505,0.291715,1,124.258,124.348
ARMK,Short,-5.09716,-3.23942,1,124.348,125.355
BROG,Short,-7.79221,-7.79221,1,125.355,127.797
CLBT,Short,-5.67268,-5.41922,1,127.797,129.529
BG,Buy,13.8759,5.57997,1,129.529,131.336
SITM,Buy,14.4739,-9.45016,0,131.336,128.233
CVE,Buy,4.54877,-0.389358,0,128.233,128.108
PRGO,Buy,1.56171,-4.94418,0,128.108,126.525
TPH,Buy,3.94687,10.7489,1,126.525,129.925
SONO,Buy,1.57153,8.67052,1,129.925,132.741
ACMR,Buy,3.26763,16.0119,1,132.741,138.054
AEVA,Short,-4.37193,3.25815,0,138.054,136.93
BWMX,Buy,3.42249,6.00162,1,136.93,138.984
MODV,Buy,4.19348,0.427873,1,138.984,139.133
FCBC,Buy,1.25254,-4.06557,0,139.133,137.719
CAMT,Short,-1.68807,4.39147,0,137.719,136.207
FIX,Buy,2.21258,4.06162,1,136.207,137.59
OLLI,Buy,5.61525,2.3873,1,137.59,138.411
FTLF,Buy,3.62602,-2.64151,0,138.411,137.497
PG,Buy,0.761779,1.23509,1,137.497,137.922
UA,Short,-11.6239,6.78776,0,137.922,135.581
VCYT,Buy,4.41666,-2.70167,0,135.581,134.665
TWLO,Short,-4.62924,-1.61721,1,134.665,135.21
SD,Buy,3.37748,-10.6036,0,135.21,131.626
EXLS,Short,-5.30446,-2.42086,1,131.626,132.422
CMCT,Buy,2.83443,-1.64063,0,132.422,131.879
IMRN,Short,-5.3783,-4.36149,1,131.879,133.317
URGN,Buy,2.35259,-3.36474,0,133.317,132.196
AAPL,Buy,0.717458,10.295,1,132.196,135.598
EPAC,Buy,4.57866,-7.30964,0,135.598,133.12
TSE,Buy,5.87528,7.19697,1,133.12,135.515
IPGP,Skip,-0.0996472,3.72378,0,135.515,135.515
PCVX,Short,-5.90771,1.07181,0,135.515,135.152
CETY,Buy,5.78101,-7.97546,0,135.152,132.457
CGC,Buy,12.1052,-6.72269,0,132.457,130.231
CNTY,Short,-2.15067,3.7037,0,130.231,129.025
CHWY,Short,-1.95813,-5.37881,1,129.025,130.76
AREC,Short,-22.9762,32.1467,0,130.76,120.252
RYAM,Short,-10.3579,-19.2381,1,120.252,126.035
THO,Short,-2.89441,15.1685,0,126.035,121.256
ALNY,Short,-6.38516,10.6259,0,121.256,118.035
AMP,Short,-1.37281,-6.57204,1,118.035,119.974
GTIM,Buy,2.00527,-7.89474,0,119.974,117.606
RRC,Buy,4.10987,8.34671,1,117.606,120.06
MRSN,Buy,9.65726,1.36752,1,120.06,120.471
SMSI,Short,-4.0527,14.7627,0,120.471,116.024
ORGO,Skip,0.174189,-2.85714,0,116.024,116.024
BUSE,Short,-0.69049,0.728787,0,116.024,115.813
APPF,Buy,11.0275,5.55282,1,115.813,117.421
DOV,Buy,1.97567,2.62104,1,117.421,118.19
TPST,Buy,13.4262,2.20126,1,118.19,118.841
CDNS,Skip,0.462917,2.31138,0,118.841,118.841
CLIR,Buy,4.985,-5.7377,0,118.841,117.136
CAC,Buy,11.8863,19.2135,1,117.136,122.762
RZB,Buy,5.90248,8.91003,1,122.762,125.497
GS,Buy,7.2769,6.21002,1,125.497,127.445
ACET,Buy,9.66205,-11.5911,0,127.445,123.752
VVPR,Short,-12.8052,10.3448,0,123.752,120.552
EBC,Skip,-0.125671,-3.623,0,120.552,120.552
PDD,Buy,13.505,3.00128,1,120.552,121.456
ONDS,Buy,24.6699,20.915,1,121.456,127.807
CAMT,Skip,0.459857,-3.46975,0,127.807,127.807
NMIH,Short,-3.96992,-3.03137,1,127.807,128.775
AMR,Short,-2.10804,-3.68376,1,128.775,129.961
WOOF,Skip,-0.0107207,-1.1875,0,129.961,129.961
