Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
OXM,Short,-4.0708,-5.18584,1,100,101.296
UAL,Short,-2.04259,-0.649702,1,101.296,101.461
ACCS,Skip,2.64431e-11,0,0,101.461,101.461
HRZN,Buy,0.502618,2.28323,1,101.461,102.04
SYBX,Buy,25.2547,-21.611,0,102.04,96.5272
ADIL,Buy,0.843048,-12.6506,0,96.5272,93.4743
FSEA,Buy,4.21051,1.24434,1,93.4743,93.7651
VABK,Buy,1.15659,3.8,1,93.7651,94.6559
T,Buy,0.897237,-0.980392,0,94.6559,94.4239
REVG,Short,-2.01435,-1.41945,1,94.4239,94.759
WRAP,Buy,9.26714,-14.359,0,94.759,91.3574
NOVA,Short,-5.86443,-12.311,1,91.3574,94.1691
RCL,Short,-4.52971,5.32311,0,94.1691,92.9159
FSTR,Buy,4.54814,5,1,92.9159,94.0774
TWI,Buy,4.04291,-0.319149,0,94.0774,94.0023
RLYB,Buy,5.88389,-11.9741,0,94.0023,91.1883
ONCO,Short,-4.65322,8.42697,0,91.1883,89.2672
CDLX,Short,-6.0616,1.48971,0,89.2672,88.9348
COR,Buy,1.00752,-2.47138,0,88.9348,88.3853
ISPC,Buy,10.9219,-10.0652,0,88.3853,86.1613
IRON,Short,-1.21109,-2.07871,1,86.1613,86.609
LAZR,Buy,0.502267,-11.35,0,86.609,84.1515
BIIB,Short,-17.907,0.41655,0,84.1515,84.0639
CION,Short,-3.87485,3.57508,0,84.0639,83.3125
AAOI,Short,-3.79652,22.1137,0,83.3125,78.7067
JBHT,Short,-7.08014,3.27522,0,78.7067,78.0622
KN,Buy,3.41789,0.748809,1,78.0622,78.2083
CLST,Buy,1.18137,2.26087,1,78.2083,78.6504
SLI,Short,-11.418,-18.0995,1,78.6504,82.2092
METC,Buy,7.08913,19.9768,1,82.2092,86.3149
AMAL,Short,-2.72102,-3.69507,1,86.3149,87.1123
VRNS,Buy,2.22967,-0.402685,0,87.1123,87.0246
EQR,Short,-1.691,-1.10224,1,87.0246,87.2644
KOP,Short,-1.2224,-6.21967,1,87.2644,88.6213
NCSM,Buy,4.15135,6.07143,1,88.6213,89.9664
SCOR,Buy,1.76252,0,0,89.9664,89.9664
PLTR,Short,-3.4095,-5.10993,1,89.9664,91.1157
FKWL,Short,-0.809296,16.8033,0,91.1157,87.2881
LRFC,Buy,1.29944,-0.895229,0,87.2881,87.0927
ASPS,Short,-7.51752,0.430725,0,87.0927,86.999
VSEC,Skip,0.156639,0.676257,0,86.999,86.999
RNA,Short,-6.97381,-4.5625,1,86.999,87.9913
AMZN,Short,-0.505201,6.29942,0,87.9913,86.6056
KPLT,Buy,2.02814,-8.7062,0,86.6056,84.7205
BSRR,Buy,7.3411,-22.3948,0,84.7205,79.9773
VXRT,Buy,3.63824,-3.40716,0,79.9773,79.2961
EFSC,Short,-2.10061,2.30769,0,79.2961,78.8386
OI,Short,-1.20435,-2.13876,1,78.8386,79.2601
BBSI,Buy,4.89455,2.331,1,79.2601,79.722
EXP,Skip,-0.179425,8.87013,0,79.722,79.722
CTRA,Buy,0.610701,-3.42428,0,79.722,79.0395
AXTA,Skip,-0.119586,1.7994,0,79.0395,79.0395
BC,Buy,6.06551,-4.78604,0,79.0395,78.0938
IBP,Skip,0.0167553,1.95197,0,78.0938,78.0938
BGLC,Short,-12.3809,2.97376,0,78.0938,77.5132
LKFN,Short,-0.782157,-5.95894,1,77.5132,78.668
ALLO,Short,-9.88591,-12.9534,1,78.668,81.2155
JOUT,Buy,5.53255,-7.72902,0,81.2155,79.6462
JRVR,Skip,0.290838,-2.38634,0,79.6462,79.6462
IPGP,Short,-0.81936,-6.01639,1,79.6462,80.8442
QIPT,Buy,6.50103,7.81893,1,80.8442,82.4245
EHC,Buy,2.15588,-3.35562,0,82.4245,81.733
LAZR,Short,-14.2947,-24.1892,1,81.733,86.6756
SIFY,Short,-3.64548,-4.5,1,86.6756,87.6507
IDA,Skip,-0.301998,-1.62457,0,87.6507,87.6507
LYFT,Short,-3.35059,-9.7561,1,87.6507,89.7886
EUDA,Buy,8.28947,8.40108,1,89.7886,91.6744
SLNH,Short,-3.92774,-6.25,1,91.6744,93.1068
GT,Buy,1.97287,0.735242,1,93.1068,93.2779
GM,Buy,2.90885,4.71925,1,93.2779,94.3784
TE,Short,-21.666,19.7531,0,94.3784,89.7178
BLUE,Short,-22.6033,0,0,89.7178,89.7178
COLL,Short,-4.34488,-1.71699,1,89.7178,90.1029
KRYS,Buy,4.45142,-0.849188,0,90.1029,89.9116
JBGS,Buy,4.40413,13.0182,1,89.9116,92.8378
AMD,Buy,4.90151,-9.09314,0,92.8378,90.7273
ESOA,Buy,11.2074,8.91089,1,90.7273,92.7485
PRT,Buy,9.90312,-4.46761,0,92.7485,91.7126
CZNC,Buy,4.70461,2.66781,1,91.7126,92.3243
ALIT,Skip,-0.400168,-3.90738,0,92.3243,92.3243
MXCT,Short,-1.99034,-1.91898,1,92.3243,92.7672
ANDE,Short,-1.9721,-0.679245,1,92.7672,92.9247
OCUL,Short,-12.5487,13.1579,0,92.9247,89.868
AUBN,Buy,1.54331,1.54331,1,89.868,90.2147
DRRX,Short,-10.1143,-4.15913,1,90.2147,91.1527
AXR,Short,-10.6967,2.3913,0,91.1527,90.6078
EVLV,Buy,9.54732,2.01005,1,90.6078,91.0631
TSN,Buy,2.81055,0.584975,1,91.0631,91.1963
DENN,Skip,0.119372,-6.18102,0,91.1963,91.1963
LTRX,Short,-13.7923,17.6238,0,91.1963,87.1782
