Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
TEO,Short,-5.79062,-3.98786,1,100,100.997
BBSI,Buy,4.43519,12.1386,1,100.997,104.062
GFAI,Buy,35.444,-15.1163,0,104.062,100.129
BIIB,Short,-1.32203,-3.64182,1,100.129,101.041
GKOS,Buy,4.71887,-3.57839,0,101.041,100.137
AMWD,Buy,11.7263,6.92335,1,100.137,101.87
FSCO,Short,-5.74595,0.688468,0,101.87,101.695
ORKA,Short,-3.46021,1.53531,0,101.695,101.305
AKBA,Buy,1.05792,3.84236,1,101.305,102.278
CHEF,Buy,8.52665,-1.51515,0,102.278,101.89
MYE,Short,-4.58506,-2.60561,1,101.89,102.554
FKWL,Short,-0.618453,10.5611,0,102.554,99.8463
THS,Skip,0.274353,-6.15894,0,99.8463,99.8463
AN,Buy,2.04638,4.67594,1,99.8463,101.013
KRMD,Short,-5.87914,-0.528867,1,101.013,101.147
BRFS,Skip,0.404441,0.253421,0,101.147,101.147
TOVX,Buy,2.16997,-8.51064,0,101.147,98.995
CCNE,Short,-2.67329,-5.9151,1,98.995,100.459
CYTK,Short,-6.41142,7.41489,0,100.459,98.5966
BSRR,Buy,4.89522,9.4697,1,98.5966,100.931
AMT,Skip,-0.307459,-6.93106,0,100.931,100.931
ALTO,Short,-3.68525,-3.77333,1,100.931,101.883
DNUT,Short,-5.51237,-8.88325,1,101.883,104.146
BALL,Buy,0.595601,4.21236,1,104.146,105.242
HON,Buy,0.919334,-3.32005,0,105.242,104.369
DTE,Short,-2.61113,-2.86695,1,104.369,105.117
EVRG,Short,-1.2957,-7.13877,1,105.117,106.993
GOSS,Buy,19.9469,-9.5176,0,106.993,104.447
NCTY,Buy,3.20085,-1.06383,0,104.447,104.169
ZD,Buy,15.6381,2.85474,1,104.169,104.913
HUT,Short,-3.10319,-31.6306,1,104.913,113.209
NRXP,Buy,21.5847,-25.9023,0,113.209,105.878
NFBK,Buy,6.47199,-1.59405,0,105.878,105.456
ABUS,Skip,-0.24533,-13.8958,0,105.456,105.456
