Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
MAS,Buy,1.73507,11.476,1,100,102.869
NTGR,Short,-7.76033,6.32378,0,102.869,101.243
DE,Buy,1.28337,-4.21116,0,101.243,100.177
HOUS,Buy,8.30307,19.0549,1,100.177,104.949
ASIX,Buy,5.69843,-2.79786,0,104.949,104.215
UTL,Buy,13.9345,9.46847,1,104.215,106.682
MDIA,Short,-5.10372,12.3894,0,106.682,103.377
GRAB,Buy,8.85298,15.0628,1,103.377,107.27
LEXX,Short,-5.89492,5.31561,0,107.27,105.845
CURI,Short,-9.93981,4.97553,0,105.845,104.528
NCPL,Buy,11.7924,7.76699,1,104.528,106.558
BBY,Buy,6.89334,0.548804,1,106.558,106.704
FIZZ,Buy,2.79409,1.65289,1,106.704,107.145
DOOO,Buy,5.45201,-9.96127,0,107.145,104.477
BBAI,Buy,35.7033,10.3774,1,104.477,107.187
SITC,Buy,1.17503,6.4978,1,107.187,108.928
GNTX,Short,-1.00538,0.669643,0,108.928,108.746
ALXO,Short,-29.8823,14.6583,0,108.746,104.761
XTNT,Short,-5.90952,-18.6992,1,104.761,109.658
MTEK,Buy,3.9005,0.980392,1,109.658,109.927
ARI,Short,-1.2937,1.41228,0,109.927,109.539
HPE,Short,-0.645908,-2.54569,1,109.539,110.236
AMTX,Buy,5.00924,-8.33333,0,110.236,107.94
CMP,Buy,0.919671,-6.52079,0,107.94,106.18
FLNT,Short,-2.92307,-10.5769,1,106.18,108.988
ACET,Buy,7.43165,7.19424,1,108.988,110.948
PII,Short,-1.28265,-0.653044,1,110.948,111.129
CATO,Buy,1.2406,-3.36222,0,111.129,110.195
MYRG,Short,-13.7276,-3.06083,1,110.195,111.038
GNL,Buy,1.21868,4.95825,1,111.038,112.414
ROCK,Buy,4.84552,10.3448,1,112.414,115.322
ALLO,Short,-6.20917,-6.4631,1,115.322,117.185
ADEA,Buy,13.5046,-18.3179,0,117.185,111.819
PX,Buy,5.42275,-1.65074,0,111.819,111.357
IBCP,Short,-0.577047,-1.46386,1,111.357,111.765
SNEX,Short,-0.628367,-0.768246,1,111.765,111.979
MAS,Buy,6.06166,14.8936,1,111.979,116.149
DOUG,Buy,4.76404,2.31481,1,116.149,116.821
PAVS,Buy,5.48906,-6.74084,0,116.821,114.852
EGAN,Buy,1.2986,-0.763359,0,114.852,114.633
TPIC,Buy,45.4076,-5.66038,0,114.633,113.011
WBS,Buy,1.6193,4.12844,1,113.011,114.177
TPST,Short,-12.5831,-11.0465,1,114.177,117.33
KRT,Skip,-0.149249,18.3834,0,117.33,117.33
ESPR,Buy,1.77841,-3.7674,0,117.33,116.225
MG,Buy,16.2668,0.638298,1,116.225,116.411
VRRM,Short,-0.55618,-1.55875,1,116.411,116.864
WFG,Buy,2.67066,12.2964,1,116.864,120.457
ONIT,Buy,12.8525,20.5882,1,120.457,126.657
NVO,Buy,0.856245,-8.08977,0,126.657,124.095
ZBRA,Short,-1.07044,-4.06667,1,124.095,125.357
BB,Buy,1.66441,3.31492,1,125.357,126.396
CDTX,Buy,46.2854,43.3333,1,126.396,140.089
HPE,Short,-5.83651,-0.22037,1,140.089,140.166
SOHO,Short,-14.0759,-25.0355,1,140.166,148.939
HNI,Buy,3.1544,8.38052,1,148.939,152.059
HALO,Buy,1.5844,-0.414938,0,152.059,151.902
BLZE,Skip,-0.283093,3.39806,0,151.902,151.902
HOFV,Buy,1.71473,-25.6595,0,151.902,142.157
AHH,Buy,10.7113,3.06748,1,142.157,143.247
PEBO,Buy,0.544415,-3.57143,0,143.247,141.968
USAS,Short,-4.06765,3.68852,0,141.968,140.659
GROW,Short,-13.6233,3.54369,0,140.659,139.413
HMST,Buy,7.16159,13.138,1,139.413,143.992
TPC,Short,-1.87621,16.5008,0,143.992,138.052
MEI,Buy,4.92495,8.08271,1,138.052,140.842
NAT,Short,-1.73462,21.5423,0,140.842,133.257
QIPT,Short,-5.37853,-20.2532,1,133.257,140.004
NXRT,Short,-1.41432,-15.897,1,140.004,145.568
SGA,Buy,9.74409,15.4618,1,145.568,151.195
APPN,Buy,3.39314,2.37368,1,151.195,152.092
CABO,Short,-1.13874,3.65048,0,152.092,150.704
BRCC,Short,-2.97564,-11.8211,1,150.704,155.158
DADA,Buy,14.3252,-7.23404,0,155.158,152.352
WOOF,Buy,0.581426,9.00901,1,152.352,155.783
XIFR,Buy,4.82726,-7.32054,0,155.783,152.932
GDEV,Skip,0.140869,-11.8136,0,152.932,152.932
VERV,Buy,13.1206,5.67121,1,152.932,155.1
RES,Short,-5.98954,13.1532,0,155.1,150
CRCT,Buy,7.32388,0.833333,1,150,150.313
BAC,Short,-1.81933,-9.58611,1,150.313,153.915
MXCT,Short,-1.04861,-5.5409,1,153.915,156.047
LASR,Short,-3.6757,3.98649,0,156.047,154.492
KNX,Buy,2.10033,-2.24765,0,154.492,153.624
NSSC,Buy,2.45652,-1.48699,0,153.624,153.053
LEDS,Buy,15.542,-17.0404,0,153.053,146.532
HXL,Buy,3.41716,-1.37313,0,146.532,146.029
UTZ,Skip,-0.0970914,-6.72727,0,146.029,146.029
CCB,Buy,0.873996,-1.00771,0,146.029,145.661
IMRX,Buy,15.0734,120.43,1,145.661,189.517
BNRG,Buy,10.4621,0,0,189.517,189.517
AMGN,Buy,1.32316,0.989953,1,189.517,189.986
STEP,Buy,8.41256,-5.8579,0,189.986,187.203
