Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
BBVA,Skip,0.222907,-2.80047,0,100,100
GTBP,Short,-17.0512,-33.3333,1,100,108.333
CRDF,Short,-2.25304,13.8686,0,108.333,104.577
PUMP,Skip,0.278831,2.34375,0,104.577,104.577
VRNT,Short,-7.24042,-9.58668,1,104.577,107.084
CLOV,Buy,17.697,-9.27152,0,107.084,104.602
CHCO,Short,-8.78217,7.48065,0,104.602,102.645
INVX,Short,-2.19439,-5.79909,1,102.645,104.133
HLX,Skip,-0.457674,-17.6,0,104.133,104.133
IPAR,Short,-3.75819,33.5189,0,104.133,95.4074
CF,Buy,7.64629,6.05733,1,95.4074,96.8522
ARE,Short,-1.05563,2.52052,0,96.8522,96.2419
BLND,Skip,-0.337785,-7.08333,0,96.2419,96.2419
CLYM,Buy,2.05392,1.91693,1,96.2419,96.7031
PM,Buy,1.06131,-1.2449,0,96.7031,96.4021
ARQT,Short,-2.66734,11.4344,0,96.4021,93.6464
PBR,Short,-3.40902,14.6918,0,93.6464,90.2068
GATX,Buy,1.14605,-2.55431,0,90.2068,89.6308
CRBP,Short,-17.6438,8.52018,0,89.6308,87.7216
NOW,Short,-0.670744,-0.228862,1,87.7216,87.7718
CDRE,Buy,1.286,12.2284,1,87.7718,90.455
ATLO,Skip,0.245101,-2.45937,0,90.455,90.455
HQI,Buy,1.25595,0,0,90.455,90.455
WYNN,Buy,8.33914,-13.837,0,90.455,87.326
COR,Buy,1.56479,-1.80783,0,87.326,86.9313
SATS,Buy,1.94955,-2.194,0,86.9313,86.4545
ABR,Buy,2.31004,13.908,1,86.4545,89.4605
BOLT,Buy,11.1724,-0.370054,0,89.4605,89.3777
MTN,Short,-0.518674,8.64349,0,89.3777,87.4464
LKQ,Buy,0.843715,0.0220022,1,87.4464,87.4512
CREX,Short,-0.704254,-1.08225,1,87.4512,87.6878
NOC,Short,-2.85852,3.24407,0,87.6878,86.9767
BKTI,Buy,4.48705,1.19048,1,86.9767,87.2355
NPFD,Buy,1.65528,-1.38281,0,87.2355,86.934
TG,Skip,-0.16326,1.14213,0,86.934,86.934
LDI,Short,-4.54502,-2.59067,1,86.934,87.497
GFAI,Buy,13.0278,-24.6499,0,87.497,82.105
UBCP,Buy,1.39115,3.43249,1,82.105,82.8096
BSBR,Skip,0.20696,8.92081,0,82.8096,82.8096
LAND,Short,-2.91164,-14.1532,1,82.8096,85.7396
BHRB,Buy,2.86653,-2.91667,0,85.7396,85.1145
CRVL,Buy,2.83157,-1.82437,0,85.1145,84.7263
SOND,Buy,16.6324,-32.1429,0,84.7263,77.9179
KR,Buy,0.52595,0.691529,1,77.9179,78.0526
BIP,Skip,0.186527,1.53963,0,78.0526,78.0526
APAM,Buy,5.97994,6.96864,1,78.0526,79.4124
AROC,Buy,2.52745,6.84372,1,79.4124,80.7711
TRDA,Buy,3.89351,12.6915,1,80.7711,83.3339
FRGE,Skip,-0.0145142,-0.703518,0,83.3339,83.3339
RCMT,Buy,1.11632,37.5587,1,83.3339,91.1586
WMK,Short,-3.28435,2.41077,0,91.1586,90.6092
PERF,Short,-6.00826,16.5975,0,90.6092,86.8495
AGM,Short,-1.02973,75.6757,0,86.8495,70.4185
CUBE,Buy,0.867377,11.9086,1,70.4185,72.515
PCH,Short,-3.39299,9.26947,0,72.515,70.8345
BIRD,Buy,17.0929,9.73451,1,70.8345,72.5584
NCMI,Short,-0.918468,7.94913,0,72.5584,71.1164
BJRI,Skip,0.315635,-2.50825,0,71.1164,71.1164
TOMZ,Buy,38.9016,7.14286,1,71.1164,72.3864
USB,Short,-0.544052,-2.27008,1,72.3864,72.7972
MRVI,Buy,7.52988,38.601,1,72.7972,79.8223
CAG,Skip,0.407539,-14.1749,0,79.8223,79.8223
CINT,Buy,2.40698,-4.9505,0,79.8223,78.8344
FARO,Buy,1.87238,5.46112,1,78.8344,79.9107
NRDS,Buy,11.2827,12.0712,1,79.9107,82.3223
HD,Buy,1.43441,-2.72614,0,82.3223,81.7612
SYK,Buy,1.21871,5.9917,1,81.7612,82.9859
ENTX,Buy,21.5732,57.1148,1,82.9859,94.8352
CEVA,Buy,5.91923,34.8379,1,94.8352,103.095
SANA,Skip,0.0709213,8.14717,0,103.095,103.095
FRT,Short,-0.905426,-3.19001,1,103.095,103.917
NFLX,Skip,-0.091105,12.5285,0,103.917,103.917
ROK,Skip,-0.231101,-0.221758,0,103.917,103.917
WSR,Skip,-0.164477,2.85424,0,103.917,103.917
MSN,Short,-0.592403,-4.09182,1,103.917,104.98
PRT,Short,-1.22525,2.06016,0,104.98,104.439
SCHL,Buy,2.02461,1.95138,1,104.439,104.949
KHC,Short,-1.33271,-4.48257,1,104.949,106.125
JAMF,Short,-3.02783,12.0047,0,106.125,102.94
COHR,Short,-0.777,-11.8305,1,102.94,105.985
LGIH,Short,-4.90246,-6.96774,1,105.985,107.831
RTX,Short,-5.00378,-2.68744,1,107.831,108.555
PLBC,Skip,0.289465,-19.4044,0,108.555,108.555
WHR,Short,-1.09171,-6.7608,1,108.555,110.39
USLM,Buy,4.58441,4.00597,1,110.39,111.496
CTKB,Buy,2.28273,12.0219,1,111.496,114.847
CPAY,Skip,0.0303575,-1.97001,0,114.847,114.847
RAMP,Short,-1.62597,0.152905,0,114.847,114.803
GLTO,Buy,6.06397,0.571429,1,114.803,114.967
KOPN,Short,-1.07133,13.7705,0,114.967,111.009
CLNN,Buy,5.3513,-3.95257,0,111.009,109.912
PARR,Buy,2.0452,-7.72337,0,109.912,107.79
PBF,Buy,1.65052,5.74405,1,107.79,109.338
KVHI,Buy,1.48228,7.09534,1,109.338,111.277
YHGJ,Skip,0.181678,12.5874,0,111.277,111.277
PCSA,Short,-4.10424,-32.4147,1,111.277,120.295
ELTX,Buy,7.44458,-10.6464,0,120.295,117.093
BKNG,Buy,5.47294,12.5556,1,117.093,120.768
COLB,Buy,1.27617,3.73182,1,120.768,121.895
DAO,Short,-5.77653,1.50943,0,121.895,121.435
