Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
APOG,Short,-5.40455,1.61714,0,100,99.5957
PROF,Buy,2.12616,3.82514,1,99.5957,100.548
SNX,Buy,0.603232,5.91898,1,100.548,102.036
ATXS,Buy,6.37201,-1.17096,0,102.036,101.737
IBRX,Buy,6.35584,30.1887,1,101.737,109.416
CION,Short,-1.87154,6.27572,0,109.416,107.699
IMRN,Short,-0.687322,-3.09859,1,107.699,108.533
ASRT,Buy,7.54627,-0.296077,0,108.533,108.453
SNSE,Buy,155.626,6.13298,1,108.453,110.116
ACTG,Buy,0.918229,14.7117,1,110.116,114.166
ZIP,Buy,1.28614,-17.6018,0,114.166,109.142
PCYO,Skip,-0.252336,-4.35572,0,109.142,109.142
INTU,Skip,0.391246,5.5398,0,109.142,109.142
ALB,Short,-2.87059,-7.72771,1,109.142,111.25
FRBA,Skip,-0.180263,0.499168,0,111.25,111.25
ESNT,Buy,0.555041,2.19317,1,111.25,111.86
COSM,Buy,15.9266,-8.26087,0,111.86,109.55
TOWN,Buy,4.29946,4.7164,1,109.55,110.842
FRHC,Skip,-0.306059,-7.95621,0,110.842,110.842
ALGN,Buy,2.24691,-7.66477,0,110.842,108.718
MERC,Buy,3.29907,-15.9281,0,108.718,104.389
BWAY,Buy,3.44107,-14.09,0,104.389,100.712
GHRS,Short,-12.4566,16.2791,0,100.712,96.613
TREE,Buy,2.9316,1.74047,1,96.613,97.0334
OCC,Short,-1.32407,-5.68862,1,97.0334,98.4134
FLNT,Buy,3.46375,-18.5535,0,98.4134,93.8486
ASPN,Short,-12.4158,4.8,0,93.8486,92.7224
CTRA,Buy,1.75326,-9.0083,0,92.7224,90.6342
CP,Buy,1.30503,1.16959,1,90.6342,90.8992
ACIW,Buy,8.40758,-0.449205,0,90.8992,90.7971
CPRX,Buy,2.3867,11.5136,1,90.7971,93.4107
BFST,Skip,0.0222196,-2.72651,0,93.4107,93.4107
ONDS,Buy,4.55596,79.2453,1,93.4107,111.917
EQT,Buy,0.934391,-5.8083,0,111.917,110.291
KRMD,Short,-5.70968,4.69181,0,110.291,108.998
CING,Short,-1.19574,-6.17284,1,108.998,110.68
BGC,Skip,-0.439182,4.06091,0,110.68,110.68
INZY,Buy,1.81795,33.2203,1,110.68,119.872
ANIP,Short,-6.54444,-5.37084,1,119.872,121.481
WWD,Short,-2.13314,-3.7447,1,121.481,122.619
MDWD,Skip,-0.452115,-1.45191,0,122.619,122.619
LIDR,Buy,3.25674,-27.861,0,122.619,114.078
MTN,Short,-1.83421,12.7761,0,114.078,110.434
VTVT,Buy,8.97845,-16.5,0,110.434,105.879
CVCO,Short,-1.39293,-0.732025,1,105.879,106.073
KSS,Short,-1.09443,-1.44231,1,106.073,106.455
PACB,Buy,1.41374,-11.0181,0,106.455,103.523
QGEN,Skip,0.493172,0.482315,0,103.523,103.523
CRNX,Buy,2.88282,-1.62558,0,103.523,103.102
RGEN,Buy,3.33445,23.4238,1,103.102,109.14
ODP,Buy,3.02119,-2.6155,0,109.14,108.426
