Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
SLVM,Short,-4.82528,-10.9194,1,100,102.73
NGVT,Short,-4.97236,9.80357,0,102.73,100.212
CLYM,Buy,19.3644,-7.69231,0,100.212,98.2849
PRCH,Buy,1.47039,-33.0968,0,98.2849,90.1526
AEON,Skip,0.147251,0.302419,0,90.1526,90.1526
ICE,Short,-6.10792,-34.0428,1,90.1526,97.8252
RMM,Skip,-0.0249844,2.50332,0,97.8252,97.8252
RAIL,Buy,3.2537,-6.41889,0,97.8252,96.2554
PKBK,Buy,1.99668,-1.05263,0,96.2554,96.0021
ESP,Short,-4.85165,9.08735,0,96.0021,93.8211
AIZ,Buy,1.63323,2.81506,1,93.8211,94.4814
PKE,Buy,7.84427,3.25668,1,94.4814,95.2506
HST,Short,-0.535735,2.37995,0,95.2506,94.6839
ORGO,Skip,-0.169555,-0.197433,0,94.6839,94.6839
ALOT,Buy,0.718594,5.07143,1,94.6839,95.8843
PSMT,Buy,1.00617,6.26316,1,95.8843,97.3857
PED,Short,-12.8921,-3.93258,1,97.3857,98.3431
ESLA,Buy,57.5248,0.787402,1,98.3431,98.5367
ADTN,Buy,24.759,6.5613,1,98.5367,100.153
MYO,Short,-1.69984,-10.4396,1,100.153,102.767
CDRE,Buy,2.89505,11.9469,1,102.767,105.836
RY,Buy,3.27153,-8.51552,0,105.836,103.583
FSCO,Buy,1.07952,3.39266,1,103.583,104.462
PENN,Buy,1.55034,0.83682,1,104.462,104.68
IMUX,Buy,4.83221,-19.3939,0,104.68,99.6048
XBIT,Buy,2.31266,-4.5302,0,99.6048,98.4768
OP,Buy,2.14206,-7.65027,0,98.4768,96.5933
CUK,Buy,9.08919,3.28977,1,96.5933,97.3878
PFLT,Short,-0.949068,-1.79558,1,97.3878,97.8249
MNTS,Buy,9.55599,-12.3142,0,97.8249,94.8133
EWBC,Short,-0.869023,-11.401,1,94.8133,97.5158
DWSN,Buy,2.74519,1.47059,1,97.5158,97.8743
LNKB,Buy,2.03966,-6.399,0,97.8743,96.3085
WOR,Buy,1.60349,7.27293,1,96.3085,98.0596
GPC,Skip,0.0921836,1.85366,0,98.0596,98.0596
MREO,Short,-2.09596,-18.6275,1,98.0596,102.626
FDMT,Buy,221.598,-6.07834,0,102.626,101.067
CIFR,Buy,20.8029,47.0899,1,101.067,112.965
SLB,Short,-1.83662,-0.822368,1,112.965,113.197
AVDL,Short,-10.2331,-10.299,1,113.197,116.111
RH,Short,-1.01698,-5.9462,1,116.111,117.838
SCHL,Short,-4.98914,-5.88674,1,117.838,119.572
VTGN,Buy,5.07795,16.2455,1,119.572,124.428
COFS,Buy,2.52659,-3.29619,0,124.428,123.403
BOTJ,Buy,3.60656,1.2939,1,123.403,123.802
PMVP,Buy,2.48563,5.95875,1,123.802,125.646
EXPI,Buy,6.38299,6.96203,1,125.646,127.833
EG,Short,-4.102,7.25714,0,127.833,125.514
APPS,Buy,1.93495,-10.1604,0,125.514,122.326
CSBR,Short,-11.8519,-11.8519,1,122.326,125.95
CHGG,Buy,2.62426,2.31362,1,125.95,126.678
NCTY,Buy,8.18366,6.08108,1,126.678,128.604
ELTX,Skip,0.48084,11.3373,0,128.604,128.604
TDY,Buy,11.1979,17.9684,1,128.604,134.381
BLZE,Short,-8.25642,7.20887,0,134.381,131.96
BYFC,Skip,0.306118,-7.30337,0,131.96,131.96
OFLX,Buy,5.49668,2.9661,1,131.96,132.938
NSIT,Buy,2.0745,-3.68246,0,132.938,131.714
NXTC,Buy,5.49089,25.1931,1,131.714,140.01
TWLO,Buy,1.07646,5.33785,1,140.01,141.878
ASUR,Buy,1.90462,-10.0295,0,141.878,138.321
EBAY,Buy,0.878911,5.04305,1,138.321,140.065
TFII,Short,-1.77746,-2.77952,1,140.065,141.038
MTVA,Short,-0.589044,9.18919,0,141.038,137.798
TNFA,Buy,11.4646,7.93651,1,137.798,140.532
BLBD,Short,-20.5194,-6.08315,1,140.532,142.669
ATKR,Buy,7.02764,-38.4052,0,142.669,128.971
SLF,Short,-0.669035,-7.43503,1,128.971,131.368
VSH,Short,-1.16334,-12.886,1,131.368,135.6
FIBK,Buy,1.40386,-7.42485,0,135.6,133.083
SLDP,Short,-4.3115,15.7895,0,133.083,127.83
TACT,Short,-8.69289,-33.4923,1,127.83,138.533
MGA,Skip,0.440205,3.46447,0,138.533,138.533
UVV,Buy,2.16752,13.0416,1,138.533,143.05
CECO,Short,-5.42395,5.18868,0,143.05,141.195
ALTS,Short,-2.68492,3.00231,0,141.195,140.135
RPM,Buy,2.67844,-9.5739,0,140.135,136.781
GWH,Buy,18.8514,19.186,1,136.781,143.341
CIM,Buy,1.69773,-4.59339,0,143.341,141.695
BLFS,Short,-0.574261,8.33333,0,141.695,138.743
FENG,Short,-5.03892,-6.47482,1,138.743,140.989
INSE,Short,-8.83024,13.0435,0,140.989,136.392
RTX,Short,-1.66535,-0.9113,1,136.392,136.702
MD,Skip,0.186721,-24.978,0,136.702,136.702
DLPN,Buy,0.889701,-1.85185,0,136.702,136.07
BVFL,Buy,4.66035,0,0,136.07,136.07
APEI,Short,-3.84082,2.89804,0,136.07,135.084
ALRM,Buy,5.60175,-0.0641026,0,135.084,135.062
PLD,Buy,2.58814,0.721668,1,135.062,135.306
PIPR,Buy,0.849014,12.1441,1,135.306,139.414
ESLT,Skip,-0.479917,5.19073,0,139.414,139.414
BIDU,Buy,1.25961,-7.25935,0,139.414,136.884
EPM,Buy,2.51707,-3.92562,0,136.884,135.54
LZB,Buy,12.4155,23.1623,1,135.54,143.389
HTLD,Buy,2.4476,-4.1,0,143.389,141.919
COF,Buy,2.20898,1.41534,1,141.919,142.421
MXC,Short,-1.42188,-6.7029,1,142.421,144.808
GGR,Buy,18.5078,-31.9265,0,144.808,133.25
PIII,Buy,11.045,-21.6981,0,133.25,126.022
LPTH,Buy,4.39826,51.6129,1,126.022,142.282
