Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
TUYA,Short,-1.34792,-23.3696,1,100,105.842
ESGR,Buy,1.35737,-3.22816,0,105.842,104.988
OFG,Buy,2.77121,9.34844,1,104.988,107.442
LIN,Skip,-0.461995,1.60142,0,107.442,107.442
WTBA,Skip,0.100636,0.984615,0,107.442,107.442
HNI,Buy,2.68897,-12.5173,0,107.442,104.08
FGEN,Buy,0.757058,-19.4647,0,104.08,99.015
MNPR,Buy,10.8605,12.7536,1,99.015,102.172
ARMP,Short,-0.544916,-1.75439,1,102.172,102.62
PROF,Short,-4.57809,-15.991,1,102.62,106.723
HAE,Short,-8.85591,7.11927,0,106.723,104.823
WDH,Buy,1.73035,7.07071,1,104.823,106.676
OPEN,Buy,1.7511,-9.06457,0,106.676,104.259
CNM,Short,-1.40418,2.23453,0,104.259,103.676
NG,Skip,-0.0386684,-3.9039,0,103.676,103.676
BLUE,Buy,0.503185,-18.1996,0,103.676,98.959
CPSH,Short,-1.82975,1.32979,0,98.959,98.63
RBC,Skip,-0.418112,6.36183,0,98.63,98.63
BBWI,Buy,6.65091,-4.14894,0,98.63,97.607
PLYM,Short,-0.63017,-5.16911,1,97.607,98.8684
RAMP,Buy,2.73964,-5.35714,0,98.8684,97.5442
SKY,Buy,2.62557,2.70628,1,97.5442,98.2042
OPOF,Buy,2.52726,2.52726,1,98.2042,98.8247
IBP,Buy,0.929885,3.26147,1,98.8247,99.6305
SELF,Buy,3.54642,4.80427,1,99.6305,100.827
IIPR,Buy,7.5366,-2.14774,0,100.827,100.286
NRG,Buy,0.788382,-10.4784,0,100.286,97.6586
MCY,Buy,3.28792,-2.34899,0,97.6586,97.0851
NVAX,Short,-6.23156,-9.76404,1,97.0851,99.455
ASTS,Skip,0.350701,0.506586,0,99.455,99.455
CBOE,Buy,1.7715,8.1342,1,99.455,101.477
WSC,Short,-6.29935,-4.6137,1,101.477,102.648
MAIN,Buy,1.65209,1.51014,1,102.648,103.035
FKWL,Buy,5.70258,-6.66667,0,103.035,101.318
DTST,Buy,10.8896,227.103,1,101.318,158.842
CMP,Buy,1.15822,-27.797,0,158.842,147.804
GBLI,Skip,0.111592,3.41253,0,147.804,147.804
HWBK,Buy,1.40484,0.000332779,1,147.804,147.804
PRCH,Buy,2.46294,-15.8594,0,147.804,141.944
AKTX,Buy,11.769,-3.63636,0,141.944,140.653
SMCI,Short,-2.07371,22.8163,0,140.653,132.631
BWMN,Buy,2.31727,-16.2107,0,132.631,127.255
BIRD,Buy,5.50813,-9.65517,0,127.255,124.184
VRRM,Buy,1.03818,8.23445,1,124.184,126.74
POST,Buy,2.93246,8.57217,1,126.74,129.456
BTMD,Buy,12.5852,-3.77778,0,129.456,128.234
GLRE,Buy,3.45281,-6.89157,0,128.234,126.024
LPRO,Short,-0.607485,25.625,0,126.024,117.951
RTX,Buy,3.15555,7.06424,1,117.951,120.034
BTCM,Buy,12.925,12.5,1,120.034,123.785
BYD,Short,-3.29844,-18.4078,1,123.785,129.482
EXLS,Buy,1.02322,0.806723,1,129.482,129.743
MIO,Buy,1.94485,-11.8252,0,129.743,125.907
AZ,Short,-0.514704,-18.3673,1,125.907,131.689
BSRR,Buy,0.660459,1.92678,1,131.689,132.323
ARCC,Short,-0.899434,-1.43369,1,132.323,132.797
GLDD,Buy,1.04194,5.68966,1,132.797,134.686
BMO,Buy,2.08281,6.08419,1,134.686,136.735
ALLT,Short,-1.98399,-23.5669,1,136.735,144.791
CVCO,Buy,5.07406,8.40511,1,144.791,147.833
BFIN,Buy,1.96271,-8.23072,0,147.833,144.791
LAND,Buy,1.89888,3.21013,1,144.791,145.953
COLM,Short,-0.613479,7.95455,0,145.953,143.051
MIDD,Buy,3.946,2.32558,1,143.051,143.883
IIPR,Buy,19.3501,4.30181,1,143.883,145.43
ED,Buy,1.29749,-0.206612,0,145.43,145.355
LFUS,Skip,0.141812,15.8774,0,145.355,145.355
TARS,Skip,-0.380746,18.0352,0,145.355,145.355
PSTL,Buy,4.32514,-2.0442,0,145.355,144.612
LGIH,Buy,6.68672,22.7548,1,144.612,152.838
THAR,Buy,40.2786,-22.2395,0,152.838,144.341
KRYS,Buy,7.91488,0.289296,1,144.341,144.445
AEHL,Buy,2.6793,-22.7273,0,144.445,136.238
CHGG,Buy,6.32838,-6.64363,0,136.238,133.975
AMP,Short,-7.78542,-4.22058,1,133.975,135.389
FXNC,Buy,1.82133,6.17021,1,135.389,137.477
FWRG,Skip,0.0296489,-8.40336,0,137.477,137.477
HII,Buy,1.3096,-3.29737,0,137.477,136.344
WNW,Short,-2.59667,-7.65789,1,136.344,138.954
FRPT,Buy,4.38099,-8.64553,0,138.954,135.951
CRMT,Buy,5.0611,-6.27886,0,135.951,133.817
TRAK,Short,-2.40412,-0.731529,1,133.817,134.062
VYGR,Buy,3.18591,9.49153,1,134.062,137.243
AMCX,Short,-2.38264,0.934891,0,137.243,136.922
NOTE,Skip,-0.0113333,0.513347,0,136.922,136.922
AKYA,Buy,5.8809,18.4502,1,136.922,143.238
IONQ,Buy,19.5181,-0.616333,0,143.238,143.017
FENC,Short,-1.69192,60.5043,0,143.017,121.384
ADTN,Short,-1.30999,-6.13402,1,121.384,123.246
ALDX,Buy,2.62584,-5.87393,0,123.246,121.436
CPSS,Buy,1.60072,-18.1818,0,121.436,115.916
