Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
BEEM,Skip,0.214705,-3.7037,0,100,100
GILT,Buy,2.23143,-6.24339,0,100,98.4392
IMNN,Buy,9.23588e+26,-5.24038,0,98.4392,97.1495
PAYS,Buy,10.9439,-18.1818,0,97.1495,92.7336
BR,Buy,2.09422,-3.60853,0,92.7336,91.897
WST,Short,-1.2225,-2.97087,1,91.897,92.5796
PYPL,Skip,-0.476597,-8.00568,0,92.5796,92.5796
LIVN,Buy,6.74555,9.0019,1,92.5796,94.6631
KRT,Buy,1.41697,-4.26855,0,94.6631,93.6529
MARA,Buy,4.03016,-16.8571,0,93.6529,89.7061
GFL,Skip,-0.123137,5.67448,0,89.7061,89.7061
PBPB,Short,-1.52984,1.43885,0,89.7061,89.3834
ORGN,Short,-7.56653,-15.7721,1,89.3834,92.9078
BYON,Short,-5.29549,-16.4312,1,92.9078,96.7243
PRIM,Buy,2.0512,13.2099,1,96.7243,99.9186
GPN,Buy,2.17651,8.75143,1,99.9186,102.105
VRTX,Buy,3.78257,11.9381,1,102.105,105.152
BKTI,Buy,3.43176,3.63636,1,105.152,106.108
PK,Buy,3.06337,2.32558,1,106.108,106.725
LYTS,Buy,3.02759,1.44823,1,106.725,107.111
DSGN,Buy,7.53934,9.76378,1,107.111,109.726
MRCY,Buy,7.34469,0.0717875,1,109.726,109.745
LYFT,Short,-1.20929,-7.92988,1,109.745,111.921
SCSC,Buy,5.49539,-1.50246,0,111.921,111.501
CTKB,Buy,0.989815,-1.9536,0,111.501,110.956
ENTA,Skip,-0.498004,-12.6659,0,110.956,110.956
DOW,Skip,0.375998,1.77024,0,110.956,110.956
CSBR,Short,-4.45136,37.051,0,110.956,100.679
FRGE,Buy,6.74331,-15,0,100.679,96.9031
MGNX,Short,-6.73397,-9.86454,1,96.9031,99.2928
VMD,Short,-2.39809,4.67422,0,99.2928,98.1326
MMS,Short,-0.56093,-3.23751,1,98.1326,98.9268
AAON,Buy,0.786666,1.4904,1,98.9268,99.2954
APEI,Buy,0.899432,-0.827943,0,99.2954,99.0899
AL,Skip,-0.115181,-4.80586,0,99.0899,99.0899
IPAR,Skip,-0.135004,-18.9008,0,99.0899,99.0899
GPI,Buy,4.8963,1.97072,1,99.0899,99.5781
BCO,Skip,-0.0341336,-8.70404,0,99.5781,99.5781
HNST,Buy,8.34319,0,0,99.5781,99.5781
RRBI,Skip,0.27878,3.30798,0,99.5781,99.5781
ANGI,Buy,0.669734,3.10559,1,99.5781,100.351
FHN,Short,-3.66479,-11.0284,1,100.351,103.118
AX,Short,-20.5346,-37.5753,1,103.118,112.805
ALLO,Buy,7.25566,-2.12766,0,112.805,112.205
LNT,Buy,1.64527,-5.5741,0,112.205,110.641
NPK,Short,-2.21784,-5.65312,1,110.641,112.205
MSGS,Short,-0.870447,-6.70648,1,112.205,114.086
HOUR,Short,-7.97798,-22.1277,1,114.086,120.397
OI,Buy,0.986399,2.57649,1,120.397,121.173
ARMK,Buy,1.38348,3.47618,1,121.173,122.226
URBN,Short,-4.0782,-4.0275,1,122.226,123.456
TRUP,Short,-0.886591,5.95794,0,123.456,121.617
PESI,Buy,11.7426,5.37143,1,121.617,123.251
JILL,Short,-4.51949,8.02119,0,123.251,120.779
HYLN,Skip,-0.314154,-0.297915,0,120.779,120.779
RILY,Short,-6.37924,-33.9934,1,120.779,131.043
MNKD,Short,-0.697715,-7.64331,1,131.043,133.547
SPCE,Skip,0.44036,0.872939,0,133.547,133.547
SIG,Buy,2.79545,11.8592,1,133.547,137.507
MS,Buy,0.506461,-10.6117,0,137.507,133.859
RPM,Buy,3.6235,1.68248,1,133.859,134.422
TOWN,Buy,4.50194,14.3695,1,134.422,139.251
PL,Skip,0.464199,55.336,0,139.251,139.251
FXNC,Buy,4.21431,4.375,1,139.251,140.774
CSCO,Short,-1.86841,2.77603,0,140.774,139.797
OKLO,Skip,-0.0236516,-0.101317,0,139.797,139.797
UP,Buy,9.72196,-45.2963,0,139.797,123.966
RMCF,Buy,3.00333,-1.17371,0,123.966,123.602
BGS,Buy,2.41418,28.7423,1,123.602,132.484
MFA,Skip,0.0142127,-2.83286,0,132.484,132.484
FNKO,Buy,7.67102,31.3592,1,132.484,142.87
VNT,Skip,0.249745,9.07509,0,142.87,142.87
ALHC,Short,-3.31509,-11.8571,1,142.87,147.106
SR,Skip,0.0518431,3.40605,0,147.106,147.106
PFLT,Buy,0.794159,1.26014,1,147.106,147.569
ED,Skip,-0.00528363,2.64158,0,147.569,147.569
SCI,Buy,5.84372,32.3625,1,147.569,159.508
CAC,Buy,0.624438,-6.5386,0,159.508,156.901
GD,Skip,0.356576,1.0251,0,156.901,156.901
CTRM,Buy,2.34605,44.8598,1,156.901,174.497
CREG,Buy,6.49286,-55.514,0,174.497,150.28
ZIP,Buy,4.24072,3.54406,1,150.28,151.611
ACVA,Short,-1.56712,8.53951,0,151.611,148.374
SEE,Buy,1.77135,2.45823,1,148.374,149.286
MCRI,Buy,7.49126,10.2968,1,149.286,153.129
CRDO,Skip,-0.430806,-7.52114,0,153.129,153.129
NCPL,Buy,12.8102,0,0,153.129,153.129
CSL,Buy,0.718641,11.647,1,153.129,157.588
CPS,Skip,-0.289893,0.915232,0,157.588,157.588
SLVM,Buy,1.10837,4.41109,1,157.588,159.326
DNA,Buy,7.02693,15.2174,1,159.326,165.387
GBLI,Skip,-0.0344571,-0.632911,0,165.387,165.387
WWW,Short,-3.33219,-3.7532,1,165.387,166.939
MAIA,Buy,0.955766,1.06952,1,166.939,167.385
HOPE,Buy,5.89044,4.98009,1,167.385,169.469
WINA,Short,-1.35131,-4.17026,1,169.469,171.236
PHAT,Buy,4.74763,14.2693,1,171.236,177.345
JNPR,Skip,-0.291195,-4.8227,0,177.345,177.345
ELVA,Buy,3.13977,10.3029,1,177.345,181.912
TXG,Short,-3.85352,-12.3896,1,181.912,187.547
