Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
INVX,Short,-2.86192,14.3465,0,100,96.4134
DAVE,Buy,1.86924,-6.40714,0,96.4134,94.869
CEPU,Short,-1.10244,-8.60215,1,94.869,96.9092
AQN,Buy,0.920214,-1.95675,0,96.9092,96.4352
C,Short,-0.960024,-2.29076,1,96.4352,96.9874
PRCT,Skip,0.495179,17.3045,0,96.9874,96.9874
KPTI,Buy,1.08683,9.60832,1,96.9874,99.3172
DDL,Buy,8.31045,6.88935,1,99.3172,101.028
UVV,Short,-3.50082,1.07288,0,101.028,100.757
DTE,Skip,0.150563,1.3303,0,100.757,100.757
BDX,Skip,0.196985,-1.49824,0,100.757,100.757
SHOO,Short,-3.97363,2.65589,0,100.757,100.088
BAK,Short,-6.93743,-39.0588,1,100.088,109.861
ABEO,Buy,9.21732,50,1,109.861,123.594
FOUR,Buy,2.0581,-1.76471,0,123.594,123.048
DQ,Buy,3.51136,-6.19413,0,123.048,121.143
NXDT,Buy,2.79625,5.71507,1,121.143,122.874
KRMD,Buy,0.564184,0,0,122.874,122.874
ALEC,Short,-5.50203,-0.398936,1,122.874,122.996
GOVX,Short,-45.1305,-41.0122,1,122.996,135.607
LE,Short,-2.46459,-7.2,1,135.607,138.048
BALL,Buy,1.23766,-1.52174,0,138.048,137.523
PVH,Short,-1.48222,-34.9754,1,137.523,149.548
ABUS,Short,-1.22255,21.1494,0,149.548,141.641
BLDE,Buy,9.08719,12.9139,1,141.641,146.213
CMMB,Short,-6.51996,-7.93651,1,146.213,149.115
NVNO,Short,-1.67348,-20.4082,1,149.115,156.722
JRSH,Buy,5.01036,13.1579,1,156.722,161.878
CARS,Buy,3.6472,-7.73537,0,161.878,158.747
GYRO,Skip,-0.235011,-2.56604,0,158.747,158.747
SNBR,Buy,1.72895,-35.3135,0,158.747,144.732
OCSL,Short,-0.614992,-3.31839,1,144.732,145.933
BGI,Buy,5.3999,54.1667,1,145.933,165.695
