Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
EQT,Buy,3.26522,0.298507,1,100,100.075
EPIX,Buy,9.89771,36.7865,1,100.075,109.278
FDX,Skip,0.345669,9.40068,0,109.278,109.278
AVPT,Buy,11.6679,4.1958,1,109.278,110.424
EGAN,Buy,2.85049,2.02532,1,110.424,110.984
GOTU,Buy,18.4311,2.32558,1,110.984,111.629
OSW,Buy,3.82621,11.3102,1,111.629,114.785
MITK,Buy,24.8921,-7.69231,0,114.785,112.578
WDI,Short,-2.68455,-1.91327,1,112.578,113.116
BIIB,Buy,1.32681,4.16176,1,113.116,114.293
IRDM,Short,-1.34365,2.82686,0,114.293,113.485
SVT,Short,-4.17526,-2.06767,1,113.485,114.072
HAYW,Skip,0.150089,0.555556,0,114.072,114.072
NUS,Skip,0.496353,8.00669,0,114.072,114.072
NWE,Short,-1.03683,-1.85594,1,114.072,114.601
ONDS,Short,-0.602711,-42.1258,1,114.601,126.67
SFNC,Short,-5.48649,-13.6331,1,126.67,130.988
TPB,Buy,10.5612,6.35625,1,130.988,133.069
ACHR,Skip,0.0822522,-5.72289,0,133.069,133.069
ETSY,Buy,1.66154,-12.5,0,133.069,128.911
GSAT,Buy,3.37036,6.50407,1,128.911,131.007
ZYXI,Skip,0.462998,31.5129,0,131.007,131.007
MYSZ,Buy,7.39425,5.55947,1,131.007,132.828
CWK,Short,-5.3615,0.316656,0,132.828,132.723
CERS,Buy,6.68285,-1.43266,0,132.723,132.247
RRBI,Short,-0.764832,-0.112994,1,132.247,132.285
BTU,Short,-4.2802,-29.4118,1,132.285,142.011
CGEM,Buy,3.46986,-3.17529,0,142.011,140.884
CELU,Buy,6.73102,27.1084,1,140.884,150.432
ADMA,Short,-7.90544,0.671141,0,150.432,150.179
BRY,Buy,7.92791,13.4641,1,150.179,155.235
FTHM,Short,-1.53227,-28.6564,1,155.235,166.356
REKR,Buy,21.0531,47.5486,1,166.356,186.131
FUBO,Buy,3.94826,-14.4828,0,186.131,179.391
CTKB,Short,-4.25622,-2.24719,1,179.391,180.399
SOTK,Buy,3.99458,12.3077,1,180.399,185.95
TROO,Buy,1.35588,4.93269,1,185.95,188.243
SGML,Skip,-0.174297,20.7058,0,188.243,188.243
ETD,Buy,3.54093,1.89873,1,188.243,189.137
CF,Short,-0.573939,10.9362,0,189.137,183.966
BIO,Buy,1.39881,5.42374,1,183.966,186.46
KYMR,Short,-3.1879,-4.53202,1,186.46,188.573
CYN,Buy,5.91847,70.4957,1,188.573,221.806
BOLT,Short,-4.23136,6.57895,0,221.806,218.158
IMMX,Short,-10.8676,-6,1,218.158,221.431
TXNM,Buy,2.41388,16.5657,1,221.431,230.601
ELEV,Buy,30.141,-6.69777,0,230.601,226.74
KIRK,Skip,0.290319,1.84502,0,226.74,226.74
EVRI,Short,-10.9132,15.1855,0,226.74,218.132
XMTR,Short,-5.0226,-6.84826,1,218.132,221.866
PNTG,Short,-3.54006,28.2993,0,221.866,206.17
PRTS,Buy,9.89846,-22.293,0,206.17,194.679
CWH,Skip,0.452054,4.45816,0,194.679,194.679
