Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
PGR,Short,-1.80806,1.12623,0,100,99.7184
ASLE,Skip,0.0190606,-0.491159,0,99.7184,99.7184
CLNN,Short,-6.45176,-4.2,1,99.7184,100.765
FENC,Buy,1.90782,17.2432,1,100.765,105.109
SUN,Buy,0.802936,12.3452,1,105.109,108.353
IP,Buy,1.15371,6.80721,1,108.353,110.197
SPSC,Buy,1.6833,0.299732,1,110.197,110.28
ROL,Short,-1.50403,3.43896,0,110.28,109.332
RDNT,Buy,7.10023,-2.80374,0,109.332,108.565
HRMY,Short,-8.52701,3.96132,0,108.565,107.49
BSRR,Buy,0.928353,-6.3591,0,107.49,105.781
CRIS,Buy,4.61945,-5.11659,0,105.781,104.428
NRIM,Short,-1.256,6.25,0,104.428,102.797
ALC,Short,-2.26557,0.271913,0,102.797,102.727
KORE,Buy,18.8047,12.7451,1,102.727,106
JOUT,Buy,3.42787,9.61843,1,106,108.549
CATY,Short,-6.97396,-8.12256,1,108.549,110.753
BR,Buy,0.575568,1.49456,1,110.753,111.167
PLBC,Buy,6.55263,-14.9657,0,111.167,107.008
BYON,Buy,0.524718,-11.4639,0,107.008,103.941
MYRG,Buy,1.60735,-8.82453,0,103.941,101.648
OII,Buy,6.06485,4.3026,1,101.648,102.741
MYRG,Buy,2.57401,2.54748,1,102.741,103.395
EQT,Skip,-0.372095,-5.62953,0,103.395,103.395
LUNR,Buy,0.681426,83.1967,1,103.395,124.901
BN,Skip,-0.318954,1.12457,0,124.901,124.901
PAVM,Short,-2.82614,-11.6264,1,124.901,128.531
GRND,Skip,0.0916449,0.14627,0,128.531,128.531
CABA,Short,-1.71827,3.34225,0,128.531,127.457
SSD,Buy,3.8942,16.0934,1,127.457,132.585
BDTX,Buy,4.01094,4.67532,1,132.585,134.135
FSFG,Buy,1.85802,10.7692,1,134.135,137.746
BIVI,Buy,10.7,-13.4921,0,137.746,133.1
VNDA,Buy,2.28457,7.61782,1,133.1,135.635
ATOM,Buy,3.34852,-14.5923,0,135.635,130.687
JWN,Buy,0.992808,-2.30269,0,130.687,129.934
SLAB,Short,-6.54453,2.72562,0,129.934,129.049
HLI,Skip,-0.433294,4.31579,0,129.049,129.049
ATHE,Buy,1.1241,-8.43373,0,129.049,126.328
PFLT,Skip,0.084077,-1.14163,0,126.328,126.328
CDP,Short,-1.52498,-4.46976,1,126.328,127.74
BUSE,Buy,1.41363,-0.746152,0,127.74,127.502
ALEX,Skip,0.436036,3.05819,0,127.502,127.502
AUID,Buy,2.33575,-18.75,0,127.502,121.525
CBAN,Skip,0.49605,4.88308,0,121.525,121.525
BZ,Buy,3.7394,25.5875,1,121.525,129.299
CZR,Short,-2.78349,-57.7884,1,129.299,147.979
AAOI,Short,-12.6504,-23.2064,1,147.979,156.564
PLL,Buy,7.89267,-25.1917,0,156.564,146.704
DEO,Buy,1.96899,-4.3446,0,146.704,145.11
NSA,Skip,0.349008,-7.84597,0,145.11,145.11
UTHR,Buy,5.28221,26.6346,1,145.11,154.772
EGAN,Skip,-0.302538,18.3196,0,154.772,154.772
RNTX,Short,-6.95615,-34.2561,1,154.772,168.027
ORGO,Short,-1.11203,-27.5801,1,168.027,179.613
TNDM,Buy,1.70398,30.5513,1,179.613,193.331
MAT,Buy,2.24759,3.19094,1,193.331,194.873
AGO,Buy,5.21879,-4.32173,0,194.873,192.768
KOP,Buy,4.58361,4.47214,1,192.768,194.923
ASML,Buy,1.62951,7.01428,1,194.923,198.341
PLAG,Buy,1.48721,-26.8293,0,198.341,185.038
PNR,Skip,-0.255655,-5.12439,0,185.038,185.038
HAL,Buy,0.546075,9.9506,1,185.038,189.641
TUSK,Short,-2.33083,-2.7836,1,189.641,190.961
FCBC,Buy,1.06582,2.42424,1,190.961,192.118
MFIN,Skip,0.0408906,-13.9033,0,192.118,192.118
PLRX,Buy,0.620965,1.75339,1,192.118,192.96
BNL,Buy,1.31391,2.06815,1,192.96,193.958
GTN,Buy,5.38895,10.1217,1,193.958,198.866
AWI,Short,-1.55715,0.816933,0,198.866,198.46
ENVX,Buy,6.1521,11.3597,1,198.46,204.096
CKX,Buy,0.970154,-2.22295,0,204.096,202.962
IPI,Buy,6.20371,-14.548,0,202.962,195.58
BAFN,Short,-2.58964,-12.4396,1,195.58,201.662
EQC,Skip,0.182465,0.481026,0,201.662,201.662
BTMD,Skip,0.333812,0.667351,0,201.662,201.662
LW,Buy,2.13746,7.8305,1,201.662,205.61
TREX,Short,-1.4204,-7.01797,1,205.61,209.217
CMCO,Buy,5.93099,31.9849,1,209.217,225.947
HNRG,Buy,1.60291,-1.49413,0,225.947,225.103
AGL,Short,-0.67981,6.30063,0,225.103,221.557
HOOD,Short,-4.73941,0.417973,0,221.557,221.326
ENIC,Short,-3.18174,3.61446,0,221.326,219.326
HNRG,Short,-7.69841,-9.87243,1,219.326,224.739
PAYS,Short,-2.74271,-4.81013,1,224.739,227.442
MYE,Short,-2.52954,0.433168,0,227.442,227.195
VET,Buy,1.96824,0.404313,1,227.195,227.425
SPOT,Buy,5.50003,-6.3416,0,227.425,223.819
CVEO,Buy,0.897363,-0.106895,0,223.819,223.76
EXPE,Buy,1.7876,-8.95958,0,223.76,218.748
ENSG,Skip,-0.215637,-29.6885,0,218.748,218.748
ELTX,Buy,8.56686,57.465,1,218.748,250.173
SUNS,Buy,9.13147,5.46022,1,250.173,253.588
META,Short,-2.80552,19.5368,0,253.588,241.203
GHLD,Buy,1.2453,4.18763,1,241.203,243.728
EVH,Buy,10.0513,43.75,1,243.728,270.385
EDAP,Buy,2.91171,8.11808,1,270.385,275.873
BIRD,Buy,2.61999,-58.1056,0,275.873,235.799
CCK,Short,-2.04483,-4.61967,1,235.799,238.522
AEON,Short,-168.502,65.9927,0,238.522,199.17
