Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
CBOE,Buy,0.809806,3.59771,1,100,100.899
PBBK,Short,-1.29298,-4.54545,1,100.899,102.046
BTAI,Short,-7.72758,-14.4828,1,102.046,105.741
CMPR,Skip,-0.394356,4.85848,0,105.741,105.741
CRNX,Buy,3.11941,15.2625,1,105.741,109.775
LGMK,Buy,33.4208,-0.877743,0,109.775,109.535
OLED,Short,-3.6631,7.92291,0,109.535,107.365
NYC,Buy,3.59101,38.1557,1,107.365,117.606
LPSN,Buy,0.529185,6.75676,1,117.606,119.593
HOPE,Buy,2.18275,5.6119,1,119.593,121.271
NUS,Buy,1.09051,16.3417,1,121.271,126.225
ETWO,Short,-2.73291,-29.5575,1,126.225,135.553
GBIO,Buy,7.06973,-10.5324,0,135.553,131.983
AAL,Buy,1.42623,-0.873993,0,131.983,131.695
BGFV,Short,-1.44039,2.7027,0,131.695,130.805
SVRA,Short,-4.16236,3.7797,0,130.805,129.569
MSFT,Buy,10.3895,5.25669,1,129.569,131.272
CTAS,Skip,-0.400721,2.48906,0,131.272,131.272
COLB,Short,-1.19144,0.255517,0,131.272,131.188
AERT,Buy,5.70902,-9.52381,0,131.188,128.065
CARM,Buy,5.70242,-5.55556,0,128.065,126.286
AZEK,Buy,0.921072,-0.811239,0,126.286,126.03
UIS,Buy,0.52341,8.27286,1,126.03,128.636
AUID,Short,-2.13582,65.7609,0,128.636,107.488
FI,Buy,5.59747,0.315358,1,107.488,107.573
BABA,Skip,-0.335762,1.63689,0,107.573,107.573
BLND,Short,-2.2207,30.2128,0,107.573,99.4478
DBX,Buy,2.37218,-3.37531,0,99.4478,98.6086
XLO,Buy,0.604732,-2.67508,0,98.6086,97.9491
BBWI,Buy,2.05468,5.39242,1,97.9491,99.2696
BEAM,Short,-1.68562,-4.5165,1,99.2696,100.39
PLXS,Short,-3.20465,-3.85027,1,100.39,101.357
VXRT,Buy,5.49471,-13.0271,0,101.357,98.0558
ERII,Short,-3.56322,-14.125,1,98.0558,101.518
DD,Skip,-0.335366,-1.21692,0,101.518,101.518
CNEY,Buy,0.650339,-10.0635,0,101.518,98.9643
ELTK,Skip,-0.0584781,-1.44816,0,98.9643,98.9643
FFBC,Buy,0.980245,-4.23251,0,98.9643,97.9172
EVGO,Short,-1.24583,19.5312,0,97.9172,93.1361
UDR,Buy,0.664368,1.76458,1,93.1361,93.5469
EEFT,Skip,0.110921,22.6611,0,93.5469,93.5469
BALL,Buy,1.19811,2.2595,1,93.5469,94.0754
COIN,Buy,36.4224,50.6168,1,94.0754,105.98
BTAI,Short,-4.51953,14.8227,0,105.98,102.053
ASPS,Buy,18.2017,5.64,1,102.053,103.492
LYV,Buy,3.50434,-1.22575,0,103.492,103.174
OI,Buy,0.509057,-5.64182,0,103.174,101.719
DTIL,Buy,9.3279,-24.4292,0,101.719,95.5068
INTT,Buy,1.12481,-3.37662,0,95.5068,94.7006
SRZN,Buy,15.0097,38.9685,1,94.7006,103.926
BX,Skip,-0.0664726,12.188,0,103.926,103.926
CULP,Skip,-0.416017,-10.9027,0,103.926,103.926
SA,Buy,6.08427,-6.69771,0,103.926,102.186
LVS,Buy,3.51758,15.5083,1,102.186,106.148
STRO,Buy,0.549165,-12.9412,0,106.148,102.714
