Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
CMTG,Skip,0.0879775,-2.95359,0,100,100
PNRG,Short,-0.773262,-1.12727,1,100,100.282
TREX,Buy,3.11369,11.6114,1,100.282,103.193
DNB,Buy,3.31245,-4.16513,0,103.193,102.118
NI,Buy,0.525356,-0.0570951,0,102.118,102.104
EVGN,Buy,13.0051,17.8295,1,102.104,106.655
FIBK,Buy,2.7187,3.36996,1,106.655,107.553
TPST,Buy,1.69139,4.8951,1,107.553,108.87
CALM,Short,-2.24584,-1.37603,1,108.87,109.244
OMC,Buy,1.1244,-5.79221,0,109.244,107.662
SATL,Short,-6.71095,-55.335,1,107.662,122.556
WAFD,Buy,1.35099,3.86608,1,122.556,123.741
MSPR,Buy,1.73923,0.81716,1,123.741,123.993
ADAG,Short,-3.32364,-3.15789,1,123.993,124.972
AMRK,Short,-3.96922,11.779,0,124.972,121.292
EBTC,Buy,2.55228,5.42955,1,121.292,122.938
RPD,Buy,0.853463,20.8655,1,122.938,129.351
TUSK,Buy,5.90525,27.2727,1,129.351,138.171
RGTI,Short,-15.8784,2.01794,0,138.171,137.474
EW,Short,-2.96541,-7.59195,1,137.474,140.083
BPRN,Buy,2.36115,4.77827,1,140.083,141.756
GECC,Buy,3.13499,-12.1972,0,141.756,137.434
OSK,Skip,0.224355,6.60365,0,137.434,137.434
DEI,Buy,9.07482,15.3285,1,137.434,142.7
HBIO,Buy,3.9673,11.8033,1,142.7,146.911
PL,Buy,8.11678,-7.49465,0,146.911,144.159
KGEI,Buy,5.26929,2.85714,1,144.159,145.188
BLBX,Short,-4.77052,6.96864,0,145.188,142.659
TMUS,Short,-2.55714,1.09908,0,142.659,142.267
SACH,Short,-2.72923,6.63984,0,142.267,139.905
FMS,Buy,2.13802,-7.79841,0,139.905,137.178
OLPX,Short,-4.54696,0,0,137.178,137.178
CRS,Buy,2.39323,-2.00453,0,137.178,136.49
III,Short,-2.92024,3.13725,0,136.49,135.42
RUN,Short,-5.82554,32.2034,0,135.42,124.517
CHWY,Skip,-0.0113148,-13.2691,0,124.517,124.517
PDYN,Buy,31.9947,15.451,1,124.517,129.327
TMHC,Buy,4.46478,5.78547,1,129.327,131.198
EYPT,Buy,3.00526,-20.0122,0,131.198,124.634
CRDL,Buy,14.7723,13.5042,1,124.634,128.842
NRSN,Buy,5.77133,5.08475,1,128.842,130.479
CB,Skip,0.25201,-0.914832,0,130.479,130.479
RSLS,Buy,26.8341,-17.2185,0,130.479,124.863
GTLB,Buy,1.56192,17.1789,1,124.863,130.225
MSGS,Buy,0.954236,-3.49031,0,130.225,129.089
LSEA,Buy,1.28893,2.47525,1,129.089,129.888
NMTC,Short,-11.0952,-49.9941,1,129.888,146.122
