Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
RPAY,Buy,5.92526,-2.77136,0,100,99.3072
LZB,Short,-0.750799,-0.216987,1,99.3072,99.361
IVR,Buy,2.46362,0.465116,1,99.361,99.4766
CLDX,Short,-4.0272,-14.3396,1,99.4766,103.043
SMID,Buy,2.5242,22.8346,1,103.043,108.925
NE,Skip,0.291567,-10.2311,0,108.925,108.925
APO,Buy,3.38209,-7.15546,0,108.925,106.977
MHO,Buy,6.52132,11.0577,1,106.977,109.934
MAS,Buy,3.16105,5.52764,1,109.934,111.453
ECPG,Short,-0.750496,5.52313,0,111.453,109.914
EDUC,Buy,1.27992,0.655738,1,109.914,110.094
LKFN,Buy,2.33655,0.740891,1,110.094,110.298
SBH,Buy,1.15569,-4.50118,0,110.298,109.057
HLX,Buy,8.90649,-18.2292,0,109.057,104.087
CDNA,Short,-9.5457,2.52874,0,104.087,103.429
TVTX,Buy,1.29866,8.06938,1,103.429,105.515
EQS,Short,-3.4755,5.41663,0,105.515,104.087
MCY,Buy,2.8129,-2.98005,0,104.087,103.311
RANI,Buy,2.8147,5.27817,1,103.311,104.674
FI,Buy,0.642946,3.2579,1,104.674,105.527
AZTA,Short,-4.01786,-0.303337,1,105.527,105.607
CIVB,Buy,1.69986,-3.79388,0,105.607,104.605
RYAM,Buy,6.64519,1.69173,1,104.605,105.048
WNW,Buy,2.085,-16.0686,0,105.048,100.828
VRTS,Buy,2.19618,2.0596,1,100.828,101.347
BBU,Buy,3.69269,1.71348,1,101.347,101.781
PRLD,Buy,125.576,11.1111,1,101.781,104.608
EXLS,Buy,1.39293,-5.85242,0,104.608,103.078
NOTV,Short,-2.75465,-2.83806,1,103.078,103.809
DXCM,Short,-4.16404,-6.97794,1,103.809,105.62
HSTM,Buy,3.16059,0.500208,1,105.62,105.752
MTUS,Buy,1.3087,8.00221,1,105.752,107.868
WSBC,Buy,3.01804,0.146558,1,107.868,107.907
TERN,Buy,1.34294,-4.71698,0,107.907,106.635
SEVN,Short,-4.9224,0.813008,0,106.635,106.418
NTR,Skip,0.172196,-8.41953,0,106.418,106.418
BCRX,Buy,2.02615,2.36842,1,106.418,107.048
LTH,Short,-3.76713,-19.9184,1,107.048,112.379
