Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
TSBK,Short,-1.98325,-18.06,1,100,104.515
DSGN,Skip,-0.18865,-19.4045,0,104.515,104.515
VRAR,Buy,2.06464,-12.7027,0,104.515,101.196
COHR,Buy,6.29383,-5.94391,0,101.196,99.6922
AFRM,Buy,56.5356,87.8818,1,99.6922,121.595
SCNI,Buy,8.28655,-17.0743,0,121.595,116.405
NC,Buy,8.84704,5.01258,1,116.405,117.863
CMI,Short,-5.79076,12.9327,0,117.863,114.053
MRC,Short,-4.15642,37.439,0,114.053,103.378
AFBI,Buy,5.09481,-1.68577,0,103.378,102.942
NUWE,Buy,78.0328,-3.36391,0,102.942,102.076
IMUX,Buy,1.56024,-3.05677,0,102.076,101.296
SYK,Buy,6.8192,-12.8235,0,101.296,98.0487
CMTL,Buy,2.48192,-1.38413,0,98.0487,97.7094
EDAP,Buy,8.9246,83.2618,1,97.7094,118.048
BRDG,Buy,27.8352,25.0589,1,118.048,125.443
LVS,Buy,4.11189,-14.8724,0,125.443,120.779
MRM,Short,-2.15195,-20.2614,1,120.779,126.897
CNTX,Buy,21.0252,-34.4031,0,126.897,115.983
CRGY,Buy,6.59117,2.98133,1,115.983,116.848
ALTO,Buy,12.3708,-39.968,0,116.848,105.172
ANEB,Buy,17.0147,-39.759,0,105.172,94.7183
FIBK,Short,-1.28287,16.9849,0,94.7183,90.6964
ARMN,Buy,32.4476,-19.0231,0,90.6964,86.3831
UNIT,Buy,15.112,-8.64159,0,86.3831,84.5168
ESLA,Buy,3.03123,-8.87379,0,84.5168,82.6419
CREX,Buy,11.1307,35.474,1,82.6419,89.971
SO,Skip,-0.0914417,6.64866,0,89.971,89.971
CLFD,Buy,16.8495,16.1702,1,89.971,93.6081
USAU,Buy,8.2751,-0.779727,0,93.6081,93.4256
HLNE,Buy,24.3754,11.3695,1,93.4256,96.0811
CLAR,Buy,9.61685,16.5143,1,96.0811,100.048
BKH,Skip,0.190882,10.1823,0,100.048,100.048
BFIN,Buy,4.22185,12.1225,1,100.048,103.08
ORC,Buy,1.83217,-15.4327,0,103.08,99.103
VMAR,Buy,28.7556,-44.0987,0,99.103,88.1772
XNET,Buy,22.4948,-27.7045,0,88.1772,82.0699
TFX,Buy,3.64431,20.2498,1,82.0699,86.2247
KPTI,Buy,23.4498,-55.6767,0,86.2247,74.2229
UDMY,Buy,0.840615,6.89655,1,74.2229,75.5026
AVNT,Short,-9.16711,-17.1752,1,75.5026,78.7446
UHAL,Buy,6.33595,-15.6875,0,78.7446,75.6563
GSL,Buy,12.0296,9.75626,1,75.6563,77.5016
NVMI,Buy,20.6753,-54.7325,0,77.5016,66.897
ZG,Buy,12.691,19.0985,1,66.897,70.091
TELA,Buy,12.6776,-40.9091,0,70.091,62.9226
ANY,Short,-9.70848,-67.2269,1,62.9226,73.4979
SCI,Buy,7.17519,-16.9037,0,73.4979,70.3919
SPOK,Short,-0.610984,-29.8321,1,70.3919,75.6418
NRC,Buy,16.3337,29.6788,1,75.6418,81.2542
XPO,Short,-5.34792,-4.87805,1,81.2542,82.2451
CLDT,Buy,1.0218,-10.0808,0,82.2451,80.1723
ENPH,Buy,18.3125,127.179,1,80.1723,105.663
NGVC,Buy,50.3594,170.273,1,105.663,150.642
AMAT,Buy,4.4421,11.4984,1,150.642,154.972
NVAX,Buy,4.87639,33.0677,1,154.972,167.784
GURE,Buy,7.34125,-23.5294,0,167.784,157.914
ECVT,Buy,5.20145,-15.4251,0,157.914,151.824
MAIA,Buy,3.56697,-32.8063,0,151.824,139.372
NKTX,Buy,8.72862,-45.0331,0,139.372,123.681
AGO,Buy,7.93656,6.23531,1,123.681,125.609
BCOW,Buy,4.567,-0.1,0,125.609,125.578
TREE,Buy,38.3194,-17.7146,0,125.578,120.017
V,Buy,0.739485,17.3483,1,120.017,125.222
FIGS,Short,-16.099,34.2574,0,125.222,114.497
EYPT,Buy,35.19,15.6708,1,114.497,118.983
OPTX,Buy,66.251,-36.7347,0,118.983,108.056
TEAM,Buy,20.2688,54.9958,1,108.056,122.913
HCA,Buy,4.54175,21.5404,1,122.913,129.532
NCMI,Buy,0.615487,-25.7767,0,129.532,121.184
D,Skip,-0.0499565,-16.5168,0,121.184,121.184
BVFL,Buy,34.2766,14.0008,1,121.184,125.426
TOWN,Buy,6.7494,-4.64548,0,125.426,123.969
WSC,Buy,5.87838,-8.1444,0,123.969,121.445
STKS,Short,-1.51632,-46.2396,1,121.445,135.484
XAIR,Buy,3.53824,4.95868,1,135.484,137.164
PAYS,Buy,14.2751,100.276,1,137.164,171.549
NOAH,Short,-1.64872,1.99262,0,171.549,170.695
ONDS,Short,-13.7161,-61.5893,1,170.695,196.977
MMI,Buy,3.17257,-16.7981,0,196.977,188.705
CC,Skip,0.250144,-48.8647,0,188.705,188.705
PXS,Buy,585.175,-3.44828,0,188.705,187.078
GS,Short,-8.54419,-7.23525,1,187.078,190.462
MTZ,Buy,0.615897,6.92149,1,190.462,193.758
BXC,Buy,13.1746,18.1646,1,193.758,202.557
APP,Buy,12.4998,-59.7273,0,202.557,172.311
ACHV,Buy,37.3923,-14.9888,0,172.311,165.854
RCON,Buy,136.075,-32.5968,0,165.854,152.339
LEGH,Short,-0.507052,-24.9796,1,152.339,161.852
CL,Buy,4.85108,4.97231,1,161.852,163.864
ELVA,Buy,31.6013,-71.4286,0,163.864,134.602
AFL,Buy,6.81573,-4.38595,0,134.602,133.127
