Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
ARAY,Short,-11.4365,-39.4575,1,100,109.864
IMTX,Buy,26.7692,26.1641,1,109.864,117.051
AXS,Skip,0.0756922,8.86669,0,117.051,117.051
RGNX,Buy,19.2025,-39.6341,0,117.051,105.453
AIN,Short,-3.20064,-21.3233,1,105.453,111.074
TRX,Buy,18.2897,100.077,1,111.074,138.864
UNB,Short,-20.3987,-20.3987,1,138.864,145.946
ANGI,Buy,8.0352,-38.9591,0,145.946,131.731
MRCY,Buy,18.3298,-24.3875,0,131.731,123.699
AAMI,Buy,13.4491,37.2049,1,123.699,135.205
CHRD,Buy,6.40668,12.7505,1,135.205,139.515
NGNE,Buy,27.4461,-42.2886,0,139.515,124.765
SSBI,Short,-1.93077,11.4702,0,124.765,121.187
DIOD,Buy,2.39568,-37.2351,0,121.187,109.906
CBSH,Buy,6.45573,9.79396,1,109.906,112.597
TXRH,Buy,3.40648,24.7844,1,112.597,119.574
ACLS,Short,-4.20043,-19.7943,1,119.574,125.491
BOOT,Buy,3.09598,-25.8075,0,125.491,117.395
PRAX,Buy,44.4821,81.1186,1,117.395,141.202
SNTG,Short,-2.59943,16.7959,0,141.202,135.273
COLL,Buy,11.2783,-36.25,0,135.273,123.014
EXFY,Buy,87.0271,-8.98204,0,123.014,120.252
FI,Buy,3.04698,-30.6417,0,120.252,111.04
LOCL,Buy,50.0708,-67.8261,0,111.04,92.2113
YCBD,Short,-20.6109,50.5263,0,92.2113,80.5635
JOUT,Short,-4.77153,-7.01946,1,80.5635,81.9773
ENOV,Short,-0.877249,32.5234,0,81.9773,75.3119
SNEX,Buy,6.87965,22.2944,1,75.3119,79.5095
CIFR,Buy,103.857,-34.8571,0,79.5095,72.5808
CTLP,Skip,0.277282,17.8733,0,72.5808,72.5808
HIHO,Buy,45.6626,236.066,1,72.5808,115.415
MEG,Short,-0.509633,14.6438,0,115.415,111.19
CLSK,Buy,20.6143,35.0476,1,111.19,120.932
SPWH,Buy,48.6367,-37.4046,0,120.932,109.624
STKS,Buy,8.6073,15.9204,1,109.624,113.987
PRKS,Buy,8.21881,-18.4346,0,113.987,108.734
FLNT,Buy,40.9453,200,1,108.734,163.101
GAIN,Buy,1.13617,6.7608,1,163.101,165.857
NWE,Buy,6.10935,6.42171,1,165.857,168.52
BN,Buy,1.3512,32.7319,1,168.52,182.31
OTTR,Buy,6.78936,1.71508,1,182.31,183.092
SCVL,Buy,1.92017,42.2569,1,183.092,202.434
IBM,Buy,7.31461,-0.176947,0,202.434,202.344
MVIS,Buy,27.3998,-13.9073,0,202.344,195.309
TU,Buy,2.22318,-1.85311,0,195.309,194.404
BL,Buy,15.2759,-18.9761,0,194.404,185.182
PRGS,Short,-1.83401,-4.82903,1,185.182,187.417
BEEM,Buy,30.6438,30.8696,1,187.417,201.881
HGTY,Buy,9.72815,0.362757,1,201.881,202.064
RMD,Buy,11.6383,7.18623,1,202.064,205.694
AHG,Buy,21.2613,-8.82353,0,205.694,201.157
HURC,Buy,5.92235,-5.57976,0,201.157,198.351
PRCT,Buy,20.5991,-26.9558,0,198.351,184.984
PR,Short,-3.2964,1.6915,0,184.984,184.202
AX,Skip,0.00540842,-5.37359,0,184.202,184.202
MNKD,Buy,20.7012,205.063,1,184.202,278.635
ARES,Buy,6.74269,23.2887,1,278.635,294.857
PBBK,Buy,6.34815,10.1958,1,294.857,302.373
SITC,Skip,-0.0287918,-16.3323,0,302.373,302.373
CMBT,Buy,5.00729,5.87978,1,302.373,306.818
WDAY,Buy,1.69948,-22.3894,0,306.818,289.644
FCUV,Buy,24.597,-22.0673,0,289.644,273.665
WY,Buy,4.92839,18.6396,1,273.665,286.417
ABSI,Short,-5.8335,-37.5465,1,286.417,313.302
HSII,Buy,7.35994,5.47807,1,313.302,317.593
GOSS,Buy,11.3085,41.0072,1,317.593,350.152
CMCO,Buy,16.6436,26.5322,1,350.152,373.378
H,Buy,4.73806,23.0862,1,373.378,394.928
WHD,Short,-0.979298,-22.2774,1,394.928,416.922
