Ticker,Decision,Predicted_EV,Actual_Return,Win,Wallet_Before,Wallet_After
FLGT,Skip,0.212786,-25.5623,0,100,100
CLNN,Short,-3.17632,-24.6062,1,100,106.152
EQ,Short,-7.08571,-18.2805,1,106.152,111.003
RNST,Buy,9.39411,3.1097,1,111.003,111.866
SLG,Buy,4.04137,0.379573,1,111.866,111.972
HRMY,Buy,13.622,32.0113,1,111.972,120.933
CHWY,Skip,-0.28099,-20.8818,0,120.933,120.933
INM,Short,-13.3438,10.1449,0,120.933,117.866
RNG,Buy,6.13438,28.1958,1,117.866,126.174
NJR,Buy,4.46592,5.26548,1,126.174,127.835
SLNG,Buy,36.4993,69.3878,1,127.835,150.01
SNBR,Buy,18.8623,40.3353,1,150.01,165.137
EDSA,Buy,18.229,8.57143,1,165.137,168.676
RXST,Buy,31.5331,-44.2119,0,168.676,150.032
BXMT,Buy,1.17805,-0.131807,0,150.032,149.983
CVLG,Buy,43.1621,165.821,1,149.983,212.158
MOMO,Buy,4.91845,4.12174,1,212.158,214.344
GAMB,Buy,6.18016,4.35754,1,214.344,216.68
BRTX,Short,-53.9852,-27.2727,1,216.68,231.453
DRIO,Buy,1.3478,-24.6575,0,231.453,217.185
ENS,Short,-4.32957,-42.42,1,217.185,240.218
FBIN,Buy,3.48508,11.7884,1,240.218,247.298
CARG,Buy,23.4577,25.8633,1,247.298,263.287
BILI,Buy,13.6283,-50.1292,0,263.287,230.291
LSTR,Buy,2.77532,-5.51755,0,230.291,227.115
ATEC,Buy,5.27768,4.44444,1,227.115,229.638
ISTR,Buy,8.96216,-8.10301,0,229.638,224.986
BLFS,Buy,9.19779,20.2703,1,224.986,236.388
CBNK,Buy,7.40674,-20.8108,0,236.388,224.089
WES,Buy,0.633516,-2.84527,0,224.089,222.495
FIX,Buy,20.7465,59.8361,1,222.495,255.778
SFBC,Buy,1.66621,43.1373,1,255.778,283.362
AFL,Buy,6.18925,-6.48162,0,283.362,278.771
ENOV,Buy,4.82131,-8.05914,0,278.771,273.154
TXN,Buy,10.9778,13.0219,1,273.154,282.046
PKST,Buy,8.267,12.4638,1,282.046,290.835
LOMA,Buy,15.2684,-15.6977,0,290.835,279.421
ALB,Buy,11.752,17.6667,1,279.421,291.762
EXEL,Buy,14.4071,-18.6557,0,291.762,278.155
RELL,Buy,21.4343,-18.8758,0,278.155,265.029
BWLP,Short,-10.5295,-59.0819,1,265.029,304.175
NPFD,Buy,4.94741,6.68707,1,304.175,309.26
SPSC,Buy,20.6362,39.6623,1,309.26,339.925
EQIX,Buy,2.00751,13.2989,1,339.925,351.226
BFH,Buy,5.47005,-24.208,0,351.226,329.97
CZNC,Buy,4.62573,-3.19983,0,329.97,327.33
UPS,Buy,5.09467,-2.37284,0,327.33,325.389
